g,w_g_raw,w_g_renormalised
1,0.142876539501453,0.1428898484924147
2,0.423653340131838,0.423692803562954
3,0.2822662375900612,0.2822925307716989
4,0.10882377078496386,0.1088339077506746
5,0.03204406131575832,0.032047046229334165
6,0.008044259468134252,0.008045008793229391
7,0.0018175426616626744,0.0018177119662870795
8,3.811069331861594e-4,3.811424334071678e-4
