node_id,prior_quantile,q_value,prior_weight
q10,0.1,0.09262462837967667,0.2
q30,0.3,0.11212693054890974,0.2
q50,0.5,0.12707755254545713,0.2
q70,0.7,0.1432605249883538,0.2
q90,0.9,0.1687856573324812,0.2
