"q","implied_prevalence"
0.01,0.382384198594299
0.02,0.19119209929715
0.05,0.0764768397188598
0.062,0.061674870741016
0.1,0.0382384198594299
0.15,0.0254922799062866
0.2,0.019119209929715
0.3,0.0127461399531433
0.5,0.00764768397188598
1,0.00382384198594299
