alpha_R,max_R0,q_recife_optimal,q_rest_optimal,u14_implied_prevalence,min_S_prop_any_stratum,cumulative_infected_2025_recife,cumulative_infected_2025_max_stratum
-0.23656905,1.398229231023725,36.3357930660996,10.268958960449451,1.5088389439742164e-4,0.9996052697538611,3.947302461388865e-4,3.947302461388865e-4
-0.13656905,1.545282282930697,16.670557188259078,4.727668019030435,4.011891783141308e-4,0.9991456941573648,8.543058426352471e-4,8.543058426352471e-4
-0.03656904999999999,1.7078010393125511,3.6502857901726595,1.0395922507654232,0.002225204209982491,0.9961254583053515,0.003874541694648445,0.003874541694648445
0.06343095000000004,1.8874120425075973,0.15342715247666006,0.043646814221991445,0.024544753769520637,0.9058037336497747,0.09419626635022531,0.09419626635022531
0.16343095000000002,2.0859128998051544,0.07580914747943839,0.02179996906087514,0.19503980497611983,0.8018411149623718,0.1795800452508938,0.1795800452508938
0.26343095,2.305290274503499,0.0276627318303867,0.007952168354914562,0.537501626769399,0.4454881734285021,0.49098891341214185,0.49098891341214185
0.3634309500000001,2.547739769103894,0.020654447488242186,0.005939247811181341,0.718691475728291,0.25621769156251434,0.6564436542895927,0.6564436542895927
0.46343095000000006,2.8156878996383887,0.01949749544519511,0.005611802051515585,0.7597974176136523,0.2123843060032575,0.6939845494663897,0.6939845494663897
0.5634309500000001,3.1118163810578503,0.019031196258361142,0.005478931012191708,0.7772310590664151,0.19304663773789732,0.7099071803790086,0.7099071803790086
0.66343095,3.4390889667365427,0.017948074391397117,0.005167149964139463,0.8233415991894951,0.14284867946652005,0.7520181337827798,0.7520307770796366
0.76343095,3.8007811107120553,0.016904272484745096,0.00486664639879773,0.8736033852774343,0.08847379105796609,0.7979206224324844,0.7979409215693117
0.8634309500000001,4.200512749530223,0.016296886848372185,0.004691783930923722,0.9056861979236891,0.05359678160956323,0.8272213321469397,0.8272425563853413
0.9634309500000002,4.642284531786779,0.015978955575366247,0.004600253479112125,0.9232887458662588,0.03421270527428106,0.8432976720070672,0.8433193135829394
1.06343095,5.130517857963174,0.015808687155746393,0.00455123421696635,0.9328605745885628,0.023338733570192068,0.8520397363225283,0.8520616025089699
1.1634309500000002,5.670099131288666,0.0157102855333098,0.0045229049448984775,0.9383704765210987,0.0168791031657007,0.8570721437678012,0.8570941387665734
1.26343095,6.266428662506224,0.01564692319919212,0.0045046632525700256,0.9418695431791888,0.012596793549162306,0.8602681396852637,0.8602902159773025
1.3634309500000001,6.925474717997558,0.015601365407382498,0.0044915473600300225,0.9443428623888428,0.009405379731401977,0.8625274142798183,0.8625495474049539
1.4634309500000002,7.653833252199046,0.015566250639177994,0.004481437924188686,0.9462163019313323,0.006867300373265199,0.8642389451067646,0.8642611204236244
1.56343095,8.458793922130745,0.015539095964259323,0.004473620110077796,0.947633148656388,0.004827037751498189,0.8655336649069213,0.8655558707656825
