d_recife,alpha_global,total_case_deviance,q_common,implied_u14_prevalence,max_R0,min_S_prop,dev_recife,dev_metro,dev_agreste,dev_sertao,dev_vale,d_metro,d_agreste,d_sertao,d_vale
0,0.0747416241844776,84192.93885622271,0.06598442709023387,0.03283015092408548,2.016359108338407,0.8640280822830129,29048.726555291145,10799.02313644034,9509.690757545291,12511.758410076876,22323.739996869055,-0.019713832095348417,-0.027483051393329058,0.05477618823839409,-0.007579304749716617
0.025,0.042156618785473055,69082.68399031961,0.11538770456862855,0.02702901308063687,1.8944570301358867,0.8978329710727356,22988.03997487108,13969.915583307817,8089.041947785628,3146.764508416866,20888.921975938218,-0.008431983451705205,-0.017288629386960207,-0.01757902084427332,0.01829963368293873
0.05,0.04256411300245669,67558.20206414156,0.10511679374826223,0.050865803431726204,1.9432071225326095,0.8543740613395682,22193.95337730652,13720.081248392398,8121.178385306294,2774.59460564293,20748.394447493425,-0.008505286070448762,-0.02188541753229586,-0.03557563480838767,0.015966338411132288
0.07500000000000001,0.011610034902096559,73177.69751515302,0.11462192976299639,0.04411606289251814,1.931671491662604,0.8610675609725227,21773.655705529352,13875.935052728384,7931.787511825002,8804.55559107114,20791.763653999144,0.019498685814061785,0.007271864371133018,-0.14775058239916694,0.045980032213972136
0.1,-0.02025470028002798,75934.77981178983,0.121818921715145,0.03724547571762545,1.9184564890560667,0.8719978837699454,21375.486180905194,13918.215600527292,7787.8743110763035,11973.071388104885,20880.13233117616,0.04971508852524049,0.038478519567551286,-0.2655824620785865,0.0773888539857947
0.125,-0.04740295850664736,77578.71379918448,0.12437410435292083,0.03529016958064705,1.914339572803946,0.8760855097289866,21328.657049104393,13923.920149638465,7740.277966638017,13663.183623169683,20922.67501063392,0.07636716770598437,0.06550989940735855,-0.3712997050153393,0.1044226379019964
0.15000000000000002,-0.07340623074266138,78630.47050738706,0.12559755980895437,0.03440794714721233,1.912419932182337,0.8780971711092197,21323.233837116477,13925.432854171997,7718.526587712998,14718.133929235471,20945.14329915012,0.10215161515550031,0.09148536708180562,-0.4740189969282014,0.13038201469089544
0.17500000000000002,-0.09895838713522528,79343.52067290842,0.12628422681902396,0.03393071194543429,1.911364268763989,0.8791701481849074,21325.41102182607,13926.019113950098,7706.70403604151,15427.01618354968,20958.370317541056,0.12758382531220647,0.11702904771343745,-0.5755250099326248,0.1559121369069808
0.2,-0.12428746031248888,79850.30080029937,0.12669479101784448,0.033649074321211045,1.9107353935298192,0.8798045475861708,21328.487686202796,13926.28100945885,7699.785272519968,15929.254563457813,20966.492268659957,0.1528437959993119,0.14235472697246396,-0.6764278000994488,0.1812292771276729
0.225,-0.14949563774287258,80225.62288209148,0.12695414209225298,0.03347197498994611,1.910337662946153,0.8802084935934876,21331.12958318142,13926.417698761998,7695.470109444135,16300.90157546482,20971.703915239108,0.17800890803748043,0.16756321458566042,-0.777003476609222,0.20643135398608115
0.25,-0.174637947990475,80513.39066206115,0.12713551579575913,0.0333513855281121,1.9100658216636939,0.8804859328802268,21333.335997604307,13926.502461635439,7692.485727484288,16585.676204034695,20975.390271302425,0.20312055579753932,0.19270443436365714,-0.8773936927952773,0.23156870263408091
0.275,-0.1997376870817942,80740.26189129379,0.12726328229726744,0.033267099489003284,1.9098753229345242,0.8806810043939984,21335.051205468575,13926.55509601885,7690.400994218021,16810.249054664015,20978.00554092433,0.22819918514021942,0.21780136187195204,-0.9776660312442287,0.25666548423205726
0.30000000000000004,-0.22480693780372674,80923.0693577963,0.12734832570306875,0.03320868942049989,1.909743067269063,0.880816748592324,21336.249714425674,13926.58692048471,7689.010245403229,16991.465911274106,20979.75656620858,0.25325479712825794,0.24287518157820115,-1.0778618628868748,0.2817318841804157
0.325,-0.249862468618835,81072.89068573355,0.12741811108511134,0.03316191736660078,1.9096370206243456,0.8809257777594367,21337.287137927466,13926.61137728637,7687.880479702489,17139.91474227677,20981.19694854046,0.2782993630757889,0.26792950420391703,-1.1780153232504658,0.3067864559707598
0.35,-0.27490347172213053,81197.3117190516,0.1274704113693848,0.03312741919071908,1.9095587211856029,0.8810063849787124,21338.093979239802,13926.629484307306,7687.034117902032,17263.273717710887,20982.28041989158,0.30333155967661396,0.29297148346179025,-1.2781291489315523,0.3318261057931481
