"chain","branch","n","median_q","lo95_q","hi95_q","median_alpha_R","median_min_S","median_max_R0","median_immune_2025"
2,"LOW",500,0.0616025716301502,0.038808951631893,0.101507539763522,0.064651,0.904413,1.904845,0.094557
4,"INTERMEDIATE",500,0.062975423169529,0.0397344201244043,0.0979631110611441,0.06258335,0.907088,1.90517,0.09188675
5,"HIGH",500,0.062367440363094,0.0401092406018627,0.0983951138974909,0.0634858,0.906472,1.905535,0.09249865
