lag_spec,n,edf_temperature,p_temperature,edf_precipitation,p_precipitation,dev_explained,adj_r2
primary,54,1.00001214610475,0.6177112074890654,1.0000008383979082,0.01195815072357026,0.8811669213801809,0.8232236330066407
sensitivity_A,54,1.3523576469301863,0.26900946240432355,1.230570462259882,0.10328224820993248,0.8771894172547267,0.8141693100777779
sensitivity_B,54,2.3112587122853263,0.20798479638831224,1.000020758748395,0.0012243280882097696,0.9170246223840096,0.8704413349425318
