state,wave_id,wave_order,is_recurrence,onset_week,onset_year,Re_early_6_median,Re_early_6_q025,Re_early_6_q975,Re_early_4_median,Re_early_8_median,S_prop,S_prop_q025,S_prop_q975,susceptibility_source,susceptibility_time_resolution,temp_pre6_2,precip_pre6_2,temp_pre4_1,precip_pre4_1,temp_pre8_4,precip_pre8_4,weeks_since_previous_wave,previous_wave_total_cases
AC,AC_wave_22,3,TRUE,2023-11-26,2023,5.991802782255448,3.676698143438098,9.920569685113694,NA,4.213425550925132,0.9000436723518197,0.854910831291765,0.9330448802282112,M0_mean_preserving_annual_shape,weekly_at_onset,27.870506422639824,127.48759154781756,27.263527381607705,162.51551322829948,28.286283308921146,123.3736446009411,959,169
AL,AL_wave_02,1,FALSE,2016-01-31,2016,1.7370577571180097,1.2194315350518932,2.546849223880771,1.949455628149896,1.569642784557387,0.9898906164756154,0.9765031702752318,0.998173634578567,M0_mean_preserving_annual_shape,weekly_at_onset,26.454775811707677,87.96385670005778,26.612344522665715,79.06617913303401,26.66358463242496,45.61753528423888,NA,NA
AL,AL_wave_04,3,TRUE,2019-02-03,2019,1.501852490321177,0.9932564872413956,2.3363902788641213,1.519440722689614,1.3843609115265545,0.9386580313409228,0.9054416938738096,0.9647924435567188,M0_mean_preserving_annual_shape,weekly_at_onset,26.24647597548714,69.52298820534318,26.037193754239944,70.76305798952251,26.108316567838525,63.5609272176239,133,167
AL,AL_wave_07,4,TRUE,2021-05-02,2021,2.061309194786059,1.248354084322722,3.436729366484576,NA,1.9512563052363805,0.9155703770332748,0.8772635944859754,0.9495538298599568,M0_mean_preserving_annual_shape,weekly_at_onset,25.633535933094887,223.42215394803182,25.449359143003008,138.84054917222127,26.301652655390143,141.01975789892518,483,1499
AL,AL_wave_08,5,TRUE,2022-03-27,2022,2.683937235275871,1.942086693081192,3.89409675906545,3.0341879546346515,2.513153529547072,0.9053961680144234,0.8638317035802543,0.9445879811077496,M0_mean_preserving_annual_shape,weekly_at_onset,26.409652709578687,99.6787096177879,25.949786269611156,116.4722696584712,26.77782556918753,66.89143867051853,84,506
AL,AL_wave_10,7,TRUE,2025-03-23,2025,1.6588488845154203,1.1237282416974872,2.518685989303087,1.6257042099604622,1.5949691240176591,0.8577389890756604,0.810402896676006,0.895062561025326,M0_mean_preserving_annual_shape,weekly_at_onset,26.385121832955882,57.39202619862186,26.609077058690495,45.58738797126887,26.256677738274227,79.25321919490874,224,368
BA,BA_wave_02,1,FALSE,2016-01-24,2016,2.6680929501253607,1.9046696074161815,3.877725191464171,2.2144369374520414,2.5555423112923146,0.9881284857571048,0.9759718544860806,0.9970970153929468,M0_mean_preserving_annual_shape,weekly_at_onset,26.478468100508145,116.56532763652154,25.87285939066813,218.22834208106505,27.13163053794441,20.545712218134238,NA,NA
BA,BA_wave_03,2,TRUE,2016-10-16,2016,1.1734559394706694,0.8080042933447998,1.784439942802693,1.2762211272069552,1.0966729345121875,0.9709152018441174,0.9530951607780584,0.9875956523078072,M0_mean_preserving_annual_shape,weekly_at_onset,24.200200648515867,68.98334208719704,24.674191968079562,67.3368821258126,23.549320926472937,61.67653209615355,49,5863
BA,BA_wave_04,3,TRUE,2017-11-12,2017,1.3694102602910896,0.9280394745589228,2.074337148908747,1.7994658217312074,1.3958629531906357,0.9522799914371424,0.9291469951750309,0.9755539603325668,M0_mean_preserving_annual_shape,weekly_at_onset,24.605357593848417,51.153787688524766,24.912191649949452,55.05475954691579,23.59959695902548,41.61826781973711,21,6655
BA,BA_wave_05,4,TRUE,2019-02-03,2019,1.0722555596883585,0.7318522067965211,1.6286951722682403,1.2177253386388638,1.1650761300070265,0.937211842098106,0.9084706323345184,0.965983145169838,M0_mean_preserving_annual_shape,weekly_at_onset,26.372852650989454,28.54635417492703,26.428708279382825,27.83420057378675,25.65506401638342,44.45567093730552,49,3383
