opportunity_id,outcome_followup_start,outcome_followup_end_6w,outcome_followup_end_8w,outcome_followup_complete_8w,major_wave_onset_next_6w,major_wave_onset_next_8w,n_major_wave_onsets_next_8w,outcome_episode_id,outcome_episode_onset,outcome_episode_end,outcome_Re_early_6_median,outcome_Re_early_6_lower,outcome_Re_early_6_upper,outcome_reported_cumulative_incidence_per_100k
BA_20170917,2017-09-24,2017-10-29,2017-11-12,TRUE,FALSE,TRUE,1,BA_wave_04,2017-11-12,2018-12-16,1.3694102602910896,0.9280394745589228,2.074337148908747,23.12276521
BA_20170924,2017-10-01,2017-11-05,2017-11-19,TRUE,FALSE,TRUE,1,BA_wave_04,2017-11-12,2018-12-16,1.3694102602910896,0.9280394745589228,2.074337148908747,23.12276521
BA_20171001,2017-10-08,2017-11-12,2017-11-26,TRUE,TRUE,TRUE,1,BA_wave_04,2017-11-12,2018-12-16,1.3694102602910896,0.9280394745589228,2.074337148908747,23.12276521
BA_20171008,2017-10-15,2017-11-19,2017-12-03,TRUE,TRUE,TRUE,1,BA_wave_04,2017-11-12,2018-12-16,1.3694102602910896,0.9280394745589228,2.074337148908747,23.12276521
BA_20171015,2017-10-22,2017-11-26,2017-12-10,TRUE,TRUE,TRUE,1,BA_wave_04,2017-11-12,2018-12-16,1.3694102602910896,0.9280394745589228,2.074337148908747,23.12276521
BA_20171022,2017-10-29,2017-12-03,2017-12-17,TRUE,TRUE,TRUE,1,BA_wave_04,2017-11-12,2018-12-16,1.3694102602910896,0.9280394745589228,2.074337148908747,23.12276521
BA_20171029,2017-11-05,2017-12-10,2017-12-24,TRUE,TRUE,TRUE,1,BA_wave_04,2017-11-12,2018-12-16,1.3694102602910896,0.9280394745589228,2.074337148908747,23.12276521
BA_20171105,2017-11-12,2017-12-17,2017-12-31,TRUE,TRUE,TRUE,1,BA_wave_04,2017-11-12,2018-12-16,1.3694102602910896,0.9280394745589228,2.074337148908747,23.12276521
BA_20171112,2017-11-19,2017-12-24,2018-01-07,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20171119,2017-11-26,2017-12-31,2018-01-14,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20171126,2017-12-03,2018-01-07,2018-01-21,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20171203,2017-12-10,2018-01-14,2018-01-28,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20171210,2017-12-17,2018-01-21,2018-02-04,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20171217,2017-12-24,2018-01-28,2018-02-11,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20171224,2017-12-31,2018-02-04,2018-02-18,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20171231,2018-01-07,2018-02-11,2018-02-25,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20180107,2018-01-14,2018-02-18,2018-03-04,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20180114,2018-01-21,2018-02-25,2018-03-11,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20180121,2018-01-28,2018-03-04,2018-03-18,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20180128,2018-02-04,2018-03-11,2018-03-25,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20180204,2018-02-11,2018-03-18,2018-04-01,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20180211,2018-02-18,2018-03-25,2018-04-08,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20180218,2018-02-25,2018-04-01,2018-04-15,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20180225,2018-03-04,2018-04-08,2018-04-22,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20180304,2018-03-11,2018-04-15,2018-04-29,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20180311,2018-03-18,2018-04-22,2018-05-06,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20180318,2018-03-25,2018-04-29,2018-05-13,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20180325,2018-04-01,2018-05-06,2018-05-20,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20180401,2018-04-08,2018-05-13,2018-05-27,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20180408,2018-04-15,2018-05-20,2018-06-03,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20180415,2018-04-22,2018-05-27,2018-06-10,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20180422,2018-04-29,2018-06-03,2018-06-17,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20180429,2018-05-06,2018-06-10,2018-06-24,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20180506,2018-05-13,2018-06-17,2018-07-01,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20180513,2018-05-20,2018-06-24,2018-07-08,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20180520,2018-05-27,2018-07-01,2018-07-15,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20180527,2018-06-03,2018-07-08,2018-07-22,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20180603,2018-06-10,2018-07-15,2018-07-29,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20180610,2018-06-17,2018-07-22,2018-08-05,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20180617,2018-06-24,2018-07-29,2018-08-12,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20180624,2018-07-01,2018-08-05,2018-08-19,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20180701,2018-07-08,2018-08-12,2018-08-26,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20180708,2018-07-15,2018-08-19,2018-09-02,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20180715,2018-07-22,2018-08-26,2018-09-09,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20180722,2018-07-29,2018-09-02,2018-09-16,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20180729,2018-08-05,2018-09-09,2018-09-23,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20180805,2018-08-12,2018-09-16,2018-09-30,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20180812,2018-08-19,2018-09-23,2018-10-07,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20180819,2018-08-26,2018-09-30,2018-10-14,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20180826,2018-09-02,2018-10-07,2018-10-21,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20180902,2018-09-09,2018-10-14,2018-10-28,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20180909,2018-09-16,2018-10-21,2018-11-04,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20180916,2018-09-23,2018-10-28,2018-11-11,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20180923,2018-09-30,2018-11-04,2018-11-18,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20180930,2018-10-07,2018-11-11,2018-11-25,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20181007,2018-10-14,2018-11-18,2018-12-02,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20181014,2018-10-21,2018-11-25,2018-12-09,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20181021,2018-10-28,2018-12-02,2018-12-16,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20181028,2018-11-04,2018-12-09,2018-12-23,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20181104,2018-11-11,2018-12-16,2018-12-30,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20181111,2018-11-18,2018-12-23,2019-01-06,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20181118,2018-11-25,2018-12-30,2019-01-13,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20181125,2018-12-02,2019-01-06,2019-01-20,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20181202,2018-12-09,2019-01-13,2019-01-27,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0
BA_20181209,2018-12-16,2019-01-20,2019-02-03,TRUE,FALSE,TRUE,1,BA_wave_05,2019-02-03,2019-12-15,1.0722555596883585,0.7318522067965211,1.6286951722682403,38.86818777
