state,week_start,year,Tmean,PRCP
AC,2014-12-28,2014,24.805652411190604,61.896342638165294
AC,2015-01-04,2015,24.45468173689028,55.47762715508905
AC,2015-01-11,2015,24.69447349633726,73.34106089938656
AC,2015-01-18,2015,23.905590458454345,79.61665926745127
AC,2015-01-25,2015,24.322446323707677,80.21334997931854
AC,2015-02-01,2015,25.7068820115272,29.81988893206369
AC,2015-02-08,2015,24.845232121479558,72.26267687245216
AC,2015-02-15,2015,24.773264151310574,126.65645743273363
AC,2015-02-22,2015,24.265046583002633,66.47783448307364
AC,2015-03-01,2015,24.640665328247277,70.80261591508055
AC,2015-03-08,2015,25.37657782011136,62.459854071440255
AC,2015-03-15,2015,24.447302243975564,109.38525935828714
AC,2015-03-22,2015,24.376822598967717,60.5852876334857
AC,2015-03-29,2015,24.89959651461072,48.22833291764814
AC,2015-04-05,2015,24.204270626188773,76.33215709372396
AC,2015-04-12,2015,24.749364140577228,55.064643992395716
AC,2015-04-19,2015,24.324081552641168,51.751772417859705
AC,2015-04-26,2015,24.47010024370753,47.61160866282668
AC,2015-05-03,2015,24.16556342046744,49.6633770209007
AC,2015-05-10,2015,23.55791184537268,61.3900812461115
AC,2015-05-17,2015,24.09991387036369,31.206187124164796
AC,2015-05-24,2015,24.14945290364913,27.675783830892797
AC,2015-05-31,2015,24.312398792659028,34.255651649717265
AC,2015-06-07,2015,24.552609664961352,16.218994305327886
AC,2015-06-14,2015,23.547761649061545,11.04073183071156
AC,2015-06-21,2015,23.76989480976982,4.125078595288185
AC,2015-06-28,2015,24.73218716525851,13.476389516612738
AC,2015-07-05,2015,22.582364406354728,20.522226846690977
AC,2015-07-12,2015,24.649540147249922,6.70632804466552
AC,2015-07-19,2015,24.48868701191472,3.489407401105491
AC,2015-07-26,2015,25.801948466321985,2.9308319226363744
AC,2015-08-02,2015,26.8692627634262,4.973129519452167
AC,2015-08-09,2015,25.72299419150355,22.227329411038195
AC,2015-08-16,2015,26.98202635308282,2.309634046638942
AC,2015-08-23,2015,27.239388685095342,23.32376208164728
AC,2015-08-30,2015,25.994931196760447,27.166033413904586
AC,2015-09-06,2015,27.372683352403882,12.516961178599278
AC,2015-09-13,2015,27.07332574983027,13.789528289039533
AC,2015-09-20,2015,27.787147780831017,15.631658243876581
AC,2015-09-27,2015,27.1363107218173,22.972715171538752
