state,week_start,year,reported_cases,smoothed_cases,weekly_timing_unidentified,q025,q25,median,q75,q975
AC,2015-01-04,2015,0,0,TRUE,NA,NA,NA,NA,NA
AC,2015-01-11,2015,0,0,TRUE,NA,NA,NA,NA,NA
AC,2015-01-18,2015,0,0,TRUE,NA,NA,NA,NA,NA
AC,2015-01-25,2015,0,0,TRUE,NA,NA,NA,NA,NA
AC,2015-02-01,2015,0,0,TRUE,NA,NA,NA,NA,NA
AC,2015-02-08,2015,0,0,TRUE,NA,NA,NA,NA,NA
AC,2015-02-15,2015,0,0,TRUE,NA,NA,NA,NA,NA
AC,2015-02-22,2015,0,0,TRUE,NA,NA,NA,NA,NA
AC,2015-03-01,2015,0,0,TRUE,NA,NA,NA,NA,NA
AC,2015-03-08,2015,0,0,TRUE,NA,NA,NA,NA,NA
AC,2015-03-15,2015,0,0,TRUE,NA,NA,NA,NA,NA
AC,2015-03-22,2015,0,0,TRUE,NA,NA,NA,NA,NA
AC,2015-03-29,2015,0,0,TRUE,NA,NA,NA,NA,NA
AC,2015-04-05,2015,0,0,TRUE,NA,NA,NA,NA,NA
AC,2015-04-12,2015,0,0,TRUE,NA,NA,NA,NA,NA
AC,2015-04-19,2015,0,0,TRUE,NA,NA,NA,NA,NA
AC,2015-04-26,2015,0,0,TRUE,NA,NA,NA,NA,NA
AC,2015-05-03,2015,0,0,TRUE,NA,NA,NA,NA,NA
AC,2015-05-10,2015,0,0,TRUE,NA,NA,NA,NA,NA
AC,2015-05-17,2015,0,0,TRUE,NA,NA,NA,NA,NA
AC,2015-05-24,2015,0,0,TRUE,NA,NA,NA,NA,NA
AC,2015-05-31,2015,0,0,TRUE,NA,NA,NA,NA,NA
AC,2015-06-07,2015,0,0,TRUE,NA,NA,NA,NA,NA
AC,2015-06-14,2015,0,0,TRUE,NA,NA,NA,NA,NA
AC,2015-06-21,2015,0,0,TRUE,NA,NA,NA,NA,NA
AC,2015-06-28,2015,0,0,TRUE,NA,NA,NA,NA,NA
AC,2015-07-05,2015,0,0,TRUE,NA,NA,NA,NA,NA
AC,2015-07-12,2015,0,0,TRUE,NA,NA,NA,NA,NA
AC,2015-07-19,2015,0,0,TRUE,NA,NA,NA,NA,NA
AC,2015-07-26,2015,0,0,TRUE,NA,NA,NA,NA,NA
AC,2015-08-02,2015,0,0,TRUE,NA,NA,NA,NA,NA
AC,2015-08-09,2015,0,0,TRUE,NA,NA,NA,NA,NA
AC,2015-08-16,2015,0,0,TRUE,NA,NA,NA,NA,NA
AC,2015-08-23,2015,0,0,TRUE,NA,NA,NA,NA,NA
AC,2015-08-30,2015,0,0,TRUE,NA,NA,NA,NA,NA
AC,2015-09-06,2015,0,0,TRUE,NA,NA,NA,NA,NA
AC,2015-09-13,2015,0,0,TRUE,NA,NA,NA,NA,NA
AC,2015-09-20,2015,0,0,TRUE,NA,NA,NA,NA,NA
AC,2015-09-27,2015,0,0,TRUE,NA,NA,NA,NA,NA
AC,2015-10-04,2015,0,0,TRUE,NA,NA,NA,NA,NA
AC,2015-10-11,2015,0,0,TRUE,NA,NA,NA,NA,NA
AC,2015-10-18,2015,0,0,TRUE,NA,NA,NA,NA,NA
AC,2015-10-25,2015,0,0,TRUE,NA,NA,NA,NA,NA
AC,2015-11-01,2015,0,0,TRUE,NA,NA,NA,NA,NA
