metric,median,q025,q975,prop_p_S_below_0_05,prop_AIC_climate_S_better
AIC_climate,98.13285799486674,75.52933202235042,120.0886667422583,NA,NA
AIC_climate_S,96.8858605451626,74.27835030261407,119.42602402354306,NA,0.64
AIC_gate,95.46951077027394,73.73094203097395,117.72171966591479,NA,NA
dev_expl_climate,0.19609237786386763,0.1344151505449465,0.3385747506730284,NA,NA
dev_expl_climate_S,0.22726042268253738,0.15573930841925498,0.40569579327717364,NA,NA
dev_expl_gate,0.19049123314401006,0.12833334121920537,0.3629213600941104,NA,NA
edf_temp_climate,1.000020944034798,1.0000010734483649,2.344516750491088,NA,NA
edf_precip_climate,1.0000138261171632,1.000001586507616,2.380780903228508,NA,NA
edf_S,1.000014679370191,1.0000017426355392,1.4989497035559929,NA,NA
p_S,0.09302044804323359,0.001143499032482162,0.6107875076071031,0.335,NA
