chain,treedepth_hits,mean_treedepth,mean_accept_stat,n_divergent,bfmi
1,0,10.62,0.9781288329186247,0,1.0716809185839573
2,0,9.287,0.9508207317558676,0,0.9380459176777709
3,0,9.099,0.9489682296079935,0,1.0076455380053069
4,0,9.36,0.9629074757536809,0,0.9486406992899432
