year,age,share
2015,0,0.014876701619389964
2015,1,0.014368350774884122
2015,2,0.014319840157515772
2015,3,0.014480306991356913
2015,4,0.01460079748310747
2015,5,0.014721961733432586
2015,6,0.015016618816707012
2015,7,0.015290501677265825
2015,8,0.015494762818453394
2015,9,0.01582423076141344
2015,10,0.015792676401504863
2015,11,0.015704414028237447
2015,12,0.01621400009679665
2015,13,0.01679972088428118
2015,14,0.017379602430786185
2015,15,0.01824100276836169
2015,16,0.018947550926884056
2015,17,0.019407728033308827
2015,18,0.01947409325290303
2015,19,0.019276906576748343
2015,20,0.01908140429703006
2015,21,0.01882627438346318
2015,22,0.01860326029528368
2015,23,0.01847996247613912
2015,24,0.018401469602202833
2015,25,0.018324324245415663
2015,26,0.018284235610229318
2015,27,0.018156109187967076
2015,28,0.017901653032974755
2015,29,0.017561966418300542
2015,30,0.017206334184028397
2015,31,0.01681925988294343
2015,32,0.01644262883976415
2015,33,0.016100359483887456
2015,34,0.015778976643822135
2015,35,0.015433675374359915
2015,36,0.015080962760577533
2015,37,0.01471185535481418
2015,38,0.01431568531297265
2015,39,0.013911991633715193
2015,40,0.013505153747776456
2015,41,0.013074958897919625
2015,42,0.012741560696607973
2015,43,0.012553582054305614
2015,44,0.012455550181707072
2015,45,0.01234011287926572
2015,46,0.012224338697537087
2015,47,0.012067802122047548
2015,48,0.011838275034313962
2015,49,0.01155147846774274
2015,50,0.011275349745268727
2015,51,0.011013931418339281
2015,52,0.01066425071814242
2015,53,0.010186331302587559
2015,54,0.009632726340490408
2015,55,0.009086981895096463
2015,56,0.008525965588679149
2015,57,0.00805141496599709
2015,58,0.007717230713015118
2015,59,0.007477821832854646
2015,60,0.007216291212829441
2015,61,0.006947573834675591
2015,62,0.006702325713535596
2015,63,0.0064765042979620935
2015,64,0.006263596588400999
2015,65,0.0060640517572353525
2015,66,0.005887414717604762
2015,67,0.0056633899915634195
2015,68,0.005360760098490029
2015,69,0.00501444819116597
2015,70,0.004670719025044392
2015,71,0.004307900032643603
2015,72,0.004016724035337739
2015,73,0.003832226479003942
2015,74,0.003711848280349146
2015,75,0.00357541216900066
2015,76,0.0034469488674511387
2015,77,0.003262339018021582
2015,78,0.0029858734162602875
2015,79,0.002660784904034882
2015,80,0.002349620735683725
2015,81,0.0020340771365979257
2015,82,0.0017826528951911268
2015,83,0.0016228598199245457
2015,84,0.0015184272408676797
2015,85,0.001396926111255283
2015,86,0.0012670029994608807
2015,87,0.0011447158181781636
2015,88,0.0010255728435767282
2015,89,9.064298689752929e-4
2015,90,2.9505521334121195e-4
2015,91,2.9505521334121195e-4
2015,92,2.9505521334121195e-4
2015,93,2.9505521334121195e-4
2015,94,2.9505521334121195e-4
2015,95,2.9505521334121195e-4
2015,96,2.9505521334121195e-4
2015,97,2.9505521334121195e-4
2015,98,2.9505521334121195e-4
2015,99,2.9505521334121195e-4
2015,100,2.9505521334121195e-4
2016,0,0.014743662551376048
2016,1,0.014739757536511331
2016,2,0.014249845528769137
2016,3,0.014206555649697406
2016,4,0.014367553833977066
2016,5,0.014492179594088208
2016,6,0.014617251641612464
2016,7,0.014910016184613037
2016,8,0.015182028362903966
2016,9,0.015384865992162747
2016,10,0.015712775668945782
2016,11,0.01568231655300098
2016,12,0.015594509504471466
2016,13,0.016100822574645474
2016,14,0.016682446645781904
2016,15,0.01722803300830965
2016,16,0.01805187957291187
2016,17,0.01875299709890867
2016,18,0.019209549122520847
2016,19,0.01927559965966122
2016,20,0.01903873261515275
2016,21,0.018803427576590172
2016,22,0.018550494185209723
2016,23,0.018329470343866682
2016,24,0.018207410736380925
2016,25,0.01815352153124782
2016,26,0.01810152904762043
2016,27,0.018062032611560138
2016,28,0.017934840698823607
2016,29,0.01768279988226938
2016,30,0.017363815953748557
2016,31,0.017029546681328694
2016,32,0.01664585107790683
2016,33,0.01627253165683979
2016,34,0.015933130079169154
2016,35,0.015621175177404825
2016,36,0.015285232327185799
2016,37,0.014935789282720175
2016,38,0.014570279891382569
2016,39,0.01417777011155177
2016,40,0.013771090706354709
2016,41,0.013361845148532262
2016,42,0.012935752240864887
2016,43,0.01260605741442941
2016,44,0.012419843991308998
2016,45,0.01231452016181489
2016,46,0.012192237410622577
2016,47,0.012077987832866257
2016,48,0.01192301452866359
2016,49,0.01169630052280339
2016,50,0.011404763270188871
2016,51,0.01112427163104884
2016,52,0.010866429078124174
2016,53,0.01052133733593638
2016,54,0.010049946255838276
2016,55,0.009493872139102431
2016,56,0.008947058486188632
2016,57,0.008395000956170783
2016,58,0.00792784960649723
2016,59,0.007599158926741251
2016,60,0.007345779247947691
2016,61,0.007071312488884654
2016,62,0.006808226058855938
2016,63,0.0065676771431893086
2016,64,0.006346764873699546
2016,65,0.006120943442665568
2016,66,0.005908956921438019
2016,67,0.00573691312368387
2016,68,0.005518678578672773
2016,69,0.005223682598606646
2016,70,0.004859512069508372
2016,71,0.004500808561220703
2016,72,0.004151142373048524
2016,73,0.0038703160183486606
2016,74,0.0036929167716371852
2016,75,0.0035468692156967315
2016,76,0.003386540462536738
2016,77,0.0032650387143173688
2016,78,0.003090317192084557
2016,79,0.0028286811961484503
2016,80,0.002485709319172931
2016,81,0.0021621509446677245
2016,82,0.0018718409824392598
2016,83,0.001640775674301231
2016,84,0.0014936123998280009
2016,85,0.0013696560708365234
2016,86,0.001232311119451727
2016,87,0.001117615254282295
2016,88,0.0010099484158693555
2016,89,9.048477300818023e-4
2016,90,3.052808763591759e-4
2016,91,3.052808763591759e-4
2016,92,3.052808763591759e-4
2016,93,3.052808763591759e-4
2016,94,3.052808763591759e-4
2016,95,3.052808763591759e-4
2016,96,3.052808763591759e-4
2016,97,3.052808763591759e-4
2016,98,3.052808763591759e-4
2016,99,3.052808763591759e-4
2016,100,3.052808763591759e-4
2017,0,0.014510414065608103
2017,1,0.014612867129021228
2017,2,0.014622181043876966
2017,3,0.014140407709970014
2017,4,0.014099271252690502
2017,5,0.014264149721624826
2017,6,0.014392548690707507
2017,7,0.014516734222117354
2017,8,0.014807683181420426
2017,9,0.015077786712236843
2017,10,0.01528003172053288
2017,11,0.015606573140177523
2017,12,0.015576192036957615
2017,13,0.015489262164970721
2017,14,0.015991991807303086
2017,15,0.01654051486434283
2017,16,0.01705200402183714
2017,17,0.01786974357018323
2017,18,0.01856551518589465
2017,19,0.019018792375540595
2017,20,0.019043962121638842
2017,21,0.01876864723370076
2017,22,0.018535023202735985
2017,23,0.01828454542107987
2017,24,0.01806533578215374
2017,25,0.017967872315984762
2017,26,0.017938489132213683
2017,27,0.017887040840629604
2017,28,0.01784778934230899
2017,29,0.017721829731879003
2017,30,0.017489203620363058
2017,31,0.017190714825224388
2017,32,0.016859294688274358
2017,33,0.01647908737827046
2017,34,0.016108748382816094
2017,35,0.015778326165314892
2017,36,0.015475402172625873
2017,37,0.015142429716533219
2017,38,0.01479626254772827
2017,39,0.014433906907864537
2017,40,0.014038287286373166
2017,41,0.013629029432414464
2017,42,0.013223763256251079
2017,43,0.012801865089273874
2017,44,0.012475545429506749
2017,45,0.012282946975882727
2017,46,0.012170736477858829
2017,47,0.012049877344611744
2017,48,0.011936668927139018
2017,49,0.011783765491590643
2017,50,0.011551472019890974
2017,51,0.011255866103160034
2017,52,0.010978777136201812
2017,53,0.010724418556689142
2017,54,0.010383795384822134
2017,55,0.009908120447546914
2017,56,0.009350616115467707
2017,57,0.008812183132855013
2017,58,0.00826887143293693
2017,59,0.0078090523269042185
2017,60,0.007467763875404656
2017,61,0.0072009867427510026
2017,62,0.006931992011322172
2017,63,0.006674307033646739
2017,64,0.006438465403906788
2017,65,0.006204952252880772
2017,66,0.0059671147842431625
2017,67,0.0057605454583355324
2017,68,0.00559278411099348
2017,69,0.005380005508515358
2017,70,0.00506488472256287
2017,71,0.004685231812252766
