parameter,baseline_median,climate_median,pct_change
alpha_R,0.294378854318613,0.29305490366318276,-0.449743803268317
beta_sin1,0.2375253269005309,0.2427405695653504,2.1956575043483624
beta_cos1,0.163088544880267,0.16385592454607,0.4705294699676103
sigma_season_year,0.48081840225582334,0.47569779675414336,-1.0649770220224466
phi_obs,7.61388967070028,7.645019385826423,0.4088542975075712
min_S_prop,0.6264018749931775,0.6279947362781347,0.2542874388705541
cumulative_infection_2025,0.3673067280548648,0.36571949490761113,-0.43212743628714284
