t,week_start,hazard,max_abs_dev_across_ages
50,2015-12-13,1.168267409805034e-6,2.117582368135751e-22
120,2017-04-16,0.01632954269930558,3.469446951953614e-18
165,2018-02-25,1.238061200226367e-4,0
400,2022-08-28,8.681660826096368e-4,1.0842021724855044e-19
550,2025-07-13,5.329550408320571e-5,6.776263578034403e-21
