lag_spec,states_pooled,T_anom_mean,T_anom_sd,P_anom_mean,P_anom_sd,n_obs_pooled
primary,CE;BA;RJ;MT,3.12402661833644e-17,0.7662961515586815,-1.1996683938569795e-17,0.5016222471506976,2276
sensitivity_A,CE;BA;RJ;MT,3.697945882666233e-17,0.847664628103114,1.2096508671563343e-17,0.5274075890862058,2284
sensitivity_B,CE;BA;RJ;MT,1.7166390984701375e-17,0.7661792788188027,-3.3106122897710597e-17,0.4793627614809835,2268
