with,cor_beta_T,cor_beta_P
alpha_R,0.014051619321198484,-0.08582129734335162
beta_sin1,0.03021978386378528,0.08829299669726534
beta_cos1,0.04812295399032647,0.061279834322802554
sigma_season_year,-0.13788140067165075,-0.21090829306521625
phi_obs,0.0278028235563715,0.03993362459151718
min_S_prop_draw,-0.045023428026460977,0.07700962703578236
final_immune_draw,0.0449422799197144,-0.07630103640927707
