state,week_of_year,lag_spec,T_clim,logP_clim,n_years
AC,1,primary,25.389503505090833,5.6790595146651555,10
AC,1,sensitivity_A,25.385253994128878,5.509485944355772,10
AC,1,sensitivity_B,25.330479658223354,5.822457074250081,10
AC,2,primary,25.311774028690703,5.705217713750469,10
AC,2,sensitivity_A,25.30099863833856,5.5144028268339484,10
AC,2,sensitivity_B,25.389503505090833,5.85333855983262,10
AC,3,primary,25.34430000199537,5.716526102029283,10
AC,3,sensitivity_A,25.297858413561674,5.490885222374667,10
AC,3,sensitivity_B,25.311774028690703,5.868277154631391,10
AC,4,primary,25.32491443339618,5.750544189988692,10
AC,4,sensitivity_A,25.287605854813812,5.480750053259858,11
AC,4,sensitivity_B,25.34430000199537,5.877425759321801,10
AC,5,primary,25.36019148653826,5.698172411454812,10
AC,5,sensitivity_A,25.296638438104214,5.505517964234779,11
AC,5,sensitivity_B,25.32491443339618,5.913220301561992,10
AC,6,primary,25.22823730278126,5.72950084431815,11
AC,6,sensitivity_A,25.200869088064632,5.533052252392332,11
AC,6,sensitivity_B,25.36019148653826,5.915347634590617,10
AC,7,primary,25.151396897625165,5.734744171480887,11
AC,7,sensitivity_A,25.071943774440786,5.574210607720872,11
AC,7,sensitivity_B,25.255242351168903,5.898515365014255,10
AC,8,primary,25.066773953243423,5.795483743898414,11
AC,8,sensitivity_A,25.05444341379746,5.644079746878614,11
AC,8,sensitivity_B,25.151396897625165,5.9170201005352014,11
AC,9,primary,25.080686414477686,5.831268167694039,11
AC,9,sensitivity_A,25.094803363343416,5.638975698993578,11
AC,9,sensitivity_B,25.066773953243423,5.950609741825049,11
AC,10,primary,25.140994628189137,5.856344224051174,11
AC,10,sensitivity_A,25.183274786859357,5.654885400679907,11
AC,10,sensitivity_B,25.080686414477686,6.006556226193092,11
AC,11,primary,25.108247232174158,5.859939315901612,11
AC,11,sensitivity_A,25.095784640342163,5.601102913069735,11
AC,11,sensitivity_B,25.140994628189137,6.011327083710697,11
AC,12,primary,24.986999453259646,5.8408052285299,11
AC,12,sensitivity_A,24.863810600949183,5.5779862206471424,11
AC,12,sensitivity_B,25.108247232174158,6.037882591301028,11
AC,13,primary,24.962367349899356,5.832446073546566,11
AC,13,sensitivity_A,24.96445496344716,5.553439838084444,11
AC,13,sensitivity_B,24.986999453259646,6.013676225866973,11
AC,14,primary,24.93468575625747,5.7881140839505365,11
AC,14,sensitivity_A,25.017314094838895,5.491662875078517,11
AC,14,sensitivity_B,24.962367349899356,6.028435365096849,11
AC,15,primary,25.024380341135753,5.742661785859679,11
AC,15,sensitivity_A,24.956830087803777,5.438434031563154,11
AC,15,sensitivity_B,24.93468575625747,6.000840663668299,11
AC,16,primary,24.878398767268724,5.664936954550862,11
AC,16,sensitivity_A,24.880024479964042,5.309146722687794,11
AC,16,sensitivity_B,25.024380341135753,5.939191679391985,11
AC,17,primary,24.832767866731846,5.6072253845025655,11
