state,cor_Tanom_woy,cor_Panom_woy
BA,5.527996926528388e-18,3.223954079206455e-17
CE,-1.8680655946639263e-17,3.053351668391595e-17
MT,6.727683535049909e-19,-2.1252618113593263e-17
RJ,-2.2349654434995693e-16,-1.509531834531985e-16
