state,week_start,week_of_year,lag_spec,lagged_temp,lagged_precip,log_precip,T_clim,logP_clim,n_years,T_anom,P_anom,T_anom_mean,T_anom_sd,P_anom_mean,P_anom_sd,z_T_anom,z_P_anom
AC,2014-12-28,52,primary,NA,NA,NA,25.37643834926201,5.639631061011915,11,NA,NA,3.12402661833644e-17,0.7662961515586815,-1.1996683938569795e-17,0.5016222471506976,NA,NA
AC,2015-01-04,1,primary,NA,NA,NA,25.389503505090833,5.6790595146651555,10,NA,NA,3.12402661833644e-17,0.7662961515586815,-1.1996683938569795e-17,0.5016222471506976,NA,NA
AC,2015-01-11,2,primary,24.65160254813938,NA,NA,25.311774028690703,5.705217713750469,10,-0.6601714805513232,NA,3.12402661833644e-17,0.7662961515586815,-1.1996683938569795e-17,0.5016222471506976,-0.8615095863505307,NA
AC,2015-01-18,3,primary,24.351581897227295,NA,NA,25.34430000199537,5.716526102029283,10,-0.9927181047680769,NA,3.12402661833644e-17,0.7662961515586815,-1.1996683938569795e-17,0.5016222471506976,-1.295475780152155,NA
AC,2015-01-25,4,primary,24.307503426166427,NA,NA,25.32491443339618,5.750544189988692,10,-1.0174110072297537,NA,3.12402661833644e-17,0.7662961515586815,-1.1996683938569795e-17,0.5016222471506976,-1.3276994868893615,NA
AC,2015-02-01,5,primary,24.64497293122974,NA,NA,25.36019148653826,5.698172411454812,10,-0.7152185553085175,NA,3.12402661833644e-17,0.7662961515586815,-1.1996683938569795e-17,0.5016222471506976,-0.933344835222949,NA
AC,2015-02-08,6,primary,24.958186818904814,350.5450399394107,5.862337839427191,25.22823730278126,5.72950084431815,11,-0.2700504838764459,0.13283699510904068,3.12402661833644e-17,0.7662961515586815,-1.1996683938569795e-17,0.5016222471506976,-0.35241007452164663,0.2648148001082052
AC,2015-02-15,7,primary,25.10845942810578,318.4685862333091,5.766658947335214,25.151396897625165,5.734744171480887,11,-0.04293746951938715,0.031914775854327004,3.12402661833644e-17,0.7662961515586815,-1.1996683938569795e-17,0.5016222471506976,-0.05603247443178516,0.06362312683619706
AC,2015-02-22,8,primary,24.627847618597592,335.2536359506722,5.817865744093786,25.066773953243423,5.795483743898414,11,-0.4389263346458314,0.022382000195372065,3.12402661833644e-17,0.7662961515586815,-1.1996683938569795e-17,0.5016222471506976,-0.5727894284122858,0.04461923354178521
AC,2015-03-01,9,primary,24.559658687520162,388.5690324840193,5.965041083198619,25.080686414477686,5.831268167694039,11,-0.5210277269575236,0.13377291550458015,3.12402661833644e-17,0.7662961515586815,-1.1996683938569795e-17,0.5016222471506976,-0.6799299799401698,0.2666805873631678
AC,2015-03-08,10,primary,24.76076324378709,375.43020769964164,5.93073265874087,25.140994628189137,5.856344224051174,11,-0.3802313844020482,0.07438843468969569,3.12402661833644e-17,0.7662961515586815,-1.1996683938569795e-17,0.5016222471506976,-0.49619378047069684,0.14829572474553326
AC,2015-03-15,11,primary,24.821515130778067,366.0194736354037,5.905414908323698,25.108247232174158,5.859939315901612,11,-0.2867321013960904,0.04547559242208621,3.12402661833644e-17,0.7662961515586815,-1.1996683938569795e-17,0.5016222471506976,-0.3741792266773939,0.09065704856671643
AC,2015-03-22,12,primary,24.73356755435155,398.65943877478026,5.990612781395489,24.986999453259646,5.8408052285299,11,-0.25343189890809725,0.1498075528655889,3.12402661833644e-17,0.7662961515586815,-1.1996683938569795e-17,0.5016222471506976,-0.3307231784899418,0.2986461499993712
AC,2015-03-29,13,primary,24.574573785851335,435.78202126061524,6.079434263465956,24.962367349899356,5.832446073546566,11,-0.387793564048021,0.24698818991938953,3.12402661833644e-17,0.7662961515586815,-1.1996683938569795e-17,0.5016222471506976,-0.5060622622979787,0.49237885943521403
AC,2015-04-05,14,primary,24.49356324658907,369.71085146136727,5.915422382621061,24.93468575625747,5.7881140839505365,11,-0.44112250966839994,0.12730829867052407,3.12402661833644e-17,0.7662961515586815,-1.1996683938569795e-17,0.5016222471506976,-0.5756553895920482,0.25379316685744613
AC,2015-04-12,15,primary,24.617743760458907,351.4613498959418,5.864940970555525,25.024380341135753,5.742661785859679,11,-0.40663658067684594,0.12227918469584598,3.12402661833644e-17,0.7662961515586815,-1.1996683938569795e-17,0.5016222471506976,-0.5306519938143087,0.2437674672333877
AC,2015-04-19,16,primary,24.42590543980239,356.9908910745852,5.880507542151259,24.878398767268724,5.664936954550862,11,-0.4524933274663354,0.21557058760039638,3.12402661833644e-17,0.7662961515586815,-1.1996683938569795e-17,0.5016222471506976,-0.590494062309909,0.4297468639496656
AC,2015-04-26,17,primary,24.514515312308642,349.59568099554065,5.85963365351662,24.832767866731846,5.6072253845025655,11,-0.31825255442320355,0.25240826901405455,3.12402661833644e-17,0.7662961515586815,-1.1996683938569795e-17,0.5016222471506976,-0.4153127400886241,0.5031839605355979
AC,2015-05-03,18,primary,24.319915072272046,291.96219405511323,5.6800435701632885,24.769348593025185,5.475361236533706,11,-0.44943352075313925,0.20468233362958266,3.12402661833644e-17,0.7662961515586815,-1.1996683938569795e-17,0.5016222471506976,-0.5865010803446826,0.40804078126959925
AC,2015-05-10,19,primary,24.064525169849215,278.9885150844542,5.634748584772486,24.61192733724537,5.351133554351564,11,-0.5474021673961538,0.28361503042092195,3.12402661833644e-17,0.7662961515586815,-1.1996683938569795e-17,0.5016222471506976,-0.7143480575789304,0.5653956379165899
AC,2015-05-17,20,primary,23.941129712067937,280.42355918770676,5.639860862525201,24.50480533020245,5.22469747447431,11,-0.5636756181345142,0.4151633880508907,3.12402661833644e-17,0.7662961515586815,-1.1996683938569795e-17,0.5016222471506976,-0.735584560861975,0.8276414979779937
AC,2015-05-24,21,primary,23.935759539795168,265.4814833400943,5.5853047602917805,24.1796807447939,5.134103473610241,11,-0.24392120499873116,0.45120128668153914,3.12402661833644e-17,0.7662961515586815,-1.1996683938569795e-17,0.5016222471506976,-0.31831192744813386,0.8994842019955088
AC,2015-05-31,22,primary,24.187255188890617,241.62302647186337,5.491508907388554,24.066470533256467,5.006657641962552,11,0.12078465563415008,0.484851265426002,3.12402661833644e-17,0.7662961515586815,-1.1996683938569795e-17,0.5016222471506976,0.15762137835152706,0.9665665113141259
