quantity,max_abs_diff,max_rel_diff
S,9.12696123123169e-8,1.6089934419487796e-14
U,4.889443516731262e-8,1.3531114367617948e-14
X,5.093170329928398e-10,1.0625590083121817e-13
infectiousness,5.311449058353901e-10,1.0232567289994769e-13
force_of_infection (lambda),1.2663481374630692e-16,9.024036633709448e-14
R_eff,2.886579864025407e-15,2.2619397549757925e-15
