quantity,median,lo95,hi95
Total infections averted,538772.6320432008,473373.9997588451,567351.2775607046
Direct-only component (Arm A - Arm C),82294.61552943755,75822.58785378256,91702.42608914248
Transmission-mediated indirect component (Arm C - Arm B),456069.48349922127,383759.04161509156,490060.6960540318
Indirect fraction of total effect,0.8470586646791498,0.8075713888051037,0.8660607367330388
