age_group,infections_no_vaccine_median,infections_no_vaccine_lo95,infections_no_vaccine_hi95,infections_vaccine_median,infections_vaccine_lo95,infections_vaccine_hi95,infections_averted_median,percent_reduction_median
0-11,428669.9891733873,395354.61923894193,478190.75582595763,348499.6450720699,307506.50521693873,410691.44810518605,80809.65515002736,18.850801514536542
12,37471.32429652219,34563.54460108718,41769.05655308084,3427.1360863794566,3136.2950333870417,3869.8928306232974,34070.20886431441,90.85559067981808
13-17,201316.90422342252,185768.999756407,224444.0292908286,114426.48591978749,102815.90539782718,132090.21454435692,86796.02823686486,43.17564497768252
18-64,1563869.2612304543,1441925.1723504025,1742555.0977823709,1269586.6650515061,1121015.7765169116,1491960.6943898809,296665.1987083814,18.9442740165225
65+,231793.22105165944,213688.96278559326,258085.43211711408,191691.34983441886,168529.0677287422,226979.07956804792,39843.549194854364,17.140273493006994
