wave_id,wave_order,onset_week,end_week,previous_end,weeks_since_previous_wave
PE_wave_04,2,2017-12-31,2018-12-16,2017-12-17,2
PE_wave_05,3,2018-12-23,2019-12-15,2018-12-16,1
PE_wave_06,4,2020-05-03,2020-12-20,2019-12-15,20
PE_wave_07,5,2021-02-07,2021-12-19,2020-12-20,7
PE_wave_08,6,2022-01-16,2022-12-18,2021-12-19,4
PE_wave_09,7,2022-12-25,2023-06-25,2022-12-18,1
PE_wave_10,8,2023-07-09,2024-12-22,2023-06-25,2
PE_wave_11,9,2024-12-29,2025-12-28,2024-12-22,1
