year,A_median,A_lo95,A_hi95,B_median,B_lo95,B_hi95
2016,0.1358975267722958,0.0828074132167091,0.19782378993413585,0.1514212083375427,0.09019868518010234,0.20083642218826056
2017,0.14531795590405783,0.08926586869575068,0.21252114729698898,0.16336312790366808,0.0975449373381844,0.21479735281600196
2018,0.15025754991641563,0.09243412258979455,0.2178823960503183,0.16779963717854446,0.10080713695143947,0.2201272753650877
2019,0.16074083456380628,0.09920957705304219,0.23159787539917615,0.17942748421528149,0.10693352140462221,0.23365690491269758
2022,0.4921447644240381,0.3126701927425495,0.6793610037977992,0.5445843684745012,0.3277789261309182,0.699987980124776
2025,0.5153265709799006,0.323869769709907,0.7078707329038125,0.5697992780018297,0.3437017109409845,0.7324347744273577
