"quantity","median_nondiv","median_div","mean_nondiv","mean_div","sd_nondiv","n_div"
"logit_q",-4.60827793239224,-4.83556362623685,-4.58165448345025,-4.80014970594423,0.200457995582253,26
"gamma_ridge",-0.661221550037338,-0.547201784039449,-0.655568743937817,-0.56378154867782,0.0338386854810674,26
"alpha_R",0.41340969861972,0.694520830696303,0.417424713813497,0.607534759195788,0.100756504924656,26
"sigma_season_year",0.422199428138747,0.399589314456979,0.428718263574677,0.408549518760658,0.0990259861639441,26
"phi_obs",3.79703527912483,3.9279258930958,3.80692161538378,3.86974432900853,0.271398349406167,26
"eta_geo_min",1.02576375204915,0.899301915471411,1.02786682313215,0.721762573216516,0.375165018863636,26
"A_year_max",1.82177399331934,1.73915659050082,1.85463012952692,1.77483486121268,0.323238426020047,26
"A_year_min",0.429509796095979,0.565072486340404,0.430485394480325,0.514479768197694,0.125649518833045,26
"immune_2025",0.55405890704095,0.772803213640202,0.548770957809584,0.704974293546716,0.0998874967813138,26
"min_S_prop",0.445913438422967,0.227102117739936,0.451206091854654,0.294983256140066,0.0998906806703833,26
