"variable","t","q025","q25","median","q75","q975","week_start"
"latent_infections",1,0.369063428936876,1.91248453681318,5.12922467714621,11.3456503498421,40.5973224132141,2015-01-04
"latent_infections",2,0.397735378043347,2.06890977408277,4.86257768699578,11.1517631877751,38.5628581348253,2015-01-11
"latent_infections",3,0.383580937967361,2.09074889987478,4.97001292357237,10.7501984116859,41.5491087052382,2015-01-18
"latent_infections",4,0.39789568529968,2.27750651165921,5.14343213463304,11.0070633998175,39.4612254489192,2015-01-25
"latent_infections",5,0.414385718244651,2.3841720287227,5.78135045225096,13.2640896629181,46.305785496579,2015-02-01
"latent_infections",6,0.486103632747746,3.33744146265565,8.81335337340415,21.5674422206825,71.6417393281259,2015-02-08
"latent_infections",7,0.749750126068221,6.23052595974567,15.3423818774262,30.8536853927667,85.7254915588321,2015-02-15
"latent_infections",8,0.539606693794031,3.95761233524463,9.65958324989817,22.6652626024478,73.8520097766462,2015-02-22
"latent_infections",9,8.14148186372801,14.8869290797538,20.5912127052302,28.9232654980378,55.0125260358904,2015-03-01
"latent_infections",10,8.83421547413125,16.0498992194383,22.0508493733269,30.1061522083886,53.5692215861723,2015-03-08
"latent_infections",11,10.1984137417987,18.2366319924663,24.3661614167998,32.8457064187521,56.579843355447,2015-03-15
"latent_infections",12,11.2280781699933,19.5416318897021,26.4319456895677,35.3589070166614,61.9279190924069,2015-03-22
"latent_infections",13,11.9645055450835,20.9042534492641,28.1523309382504,37.4037702594566,65.0591355144201,2015-03-29
"latent_infections",14,12.4262123663073,21.6094239070274,29.1684749307589,39.3553873951044,66.7007029544862,2015-04-05
"latent_infections",15,12.6543133179974,21.7611380338202,29.6508254838973,40.0061878782549,68.0308433534132,2015-04-12
"latent_infections",16,12.5004525048313,21.5287275217772,29.6298087829402,39.9921615914652,69.8279043879794,2015-04-19
"latent_infections",17,11.6250137500423,20.3764447576309,28.4798891168915,38.0764749520568,66.3814224511369,2015-04-26
"latent_infections",18,10.1500662671505,18.1254249761211,25.3133249775492,33.9201942832519,58.8821790328583,2015-05-03
"latent_infections",19,8.55289383491865,16.2375506873899,22.7057514974042,31.0546959912476,54.4425372140172,2015-05-10
"latent_infections",20,6.77527203740477,13.3415945813928,18.6749564380086,25.8536477047069,46.5062665243656,2015-05-17
"latent_infections",21,5.54583132032438,11.1066487714587,15.6077705652567,22.0204316602819,39.6891703791904,2015-05-24
"latent_infections",22,4.24805040471536,8.73277278124138,12.6173640243064,17.9437161550448,33.9919644988893,2015-05-31
"latent_infections",23,3.25738627603741,6.85398056635459,9.94083011154565,14.4046152572718,27.536431054739,2015-06-07
"latent_infections",24,2.38207935536643,5.42930827797005,7.91838742231025,11.4992193074266,22.5157834488233,2015-06-14
"latent_infections",25,1.71805228497347,4.10765495046014,6.12435333053535,9.07315240426949,18.5178057436448,2015-06-21
"latent_infections",26,1.28384964093835,3.15876253036415,4.86683856477169,7.16899623209179,15.2952403234893,2015-06-28
"latent_infections",27,0.968367072468114,2.41392603102856,3.87330828826407,5.7325076877687,12.5765386734812,2015-07-05
"latent_infections",28,0.701777177670986,1.88842583899459,3.11611476572137,4.66459838483245,10.3637407178083,2015-07-12
"latent_infections",29,0.55463310896616,1.48996811370696,2.53952015320734,3.85852030896602,8.86611675383539,2015-07-19
"latent_infections",30,0.43463690443972,1.23274800969497,2.07976706653559,3.21574750686524,7.63700525787311,2015-07-26
"latent_infections",31,0.359991735369111,1.02402501937528,1.75529041456556,2.76326728232379,6.78124776589182,2015-08-02
"latent_infections",32,0.296230731449217,0.864939516079895,1.51246692873077,2.40791414323849,5.95500554897343,2015-08-09
"latent_infections",33,0.25375049777146,0.746374607888511,1.33894844464735,2.13032930650351,5.47822801213082,2015-08-16
"latent_infections",34,0.226189918242109,0.67665957474578,1.20655414213911,1.96386080184711,5.07925127868564,2015-08-23
"latent_infections",35,0.200954447263795,0.623192814075795,1.13281127538739,1.84562906294914,4.96591455249772,2015-08-30
"latent_infections",36,0.19231769127086,0.604825904288707,1.09985769956556,1.79623681848058,4.72816681342996,2015-09-06
"latent_infections",37,0.191831188292485,0.608268736494838,1.08960520280271,1.78395878301983,4.70583088174277,2015-09-13
"latent_infections",38,0.204149157805699,0.647549151451651,1.1056594588843,1.84235811598944,4.83642336809843,2015-09-20
"latent_infections",39,0.221872471884604,0.686110358624931,1.180477096412,1.94836019591168,5.1111586694638,2015-09-27
