"variable","t","q025","q25","median","q75","q975","week_start"
"latent_infections",1,0.374773449173218,1.85793005578874,4.04241392169598,7.86035954057631,24.5733855612651,2015-01-04
"latent_infections",2,0.533968695142957,2.25320728255866,5.18839862640018,9.78348855993404,30.5986069181407,2015-01-11
"latent_infections",3,0.436109996197608,1.93150183596609,4.38448596356716,10.0268121905799,36.7903773555134,2015-01-18
"latent_infections",4,0.385355591874197,1.67879015486784,4.29065209768532,10.3209696649196,31.5181040813459,2015-01-25
"latent_infections",5,0.410118821568001,1.87129855480743,4.27616021940353,8.28530595758256,41.9736931244591,2015-02-01
"latent_infections",6,0.450928077259238,2.82758857158551,6.3113387643402,15.0205380555735,68.7613179917583,2015-02-08
"latent_infections",7,0.978458473910676,4.45699226194387,12.6341884282725,27.4608038921674,75.0262377455045,2015-02-15
"latent_infections",8,0.33387130912149,3.65794840164473,9.25767592311701,17.7142480420991,51.5930910866376,2015-02-22
"latent_infections",9,7.168632408547,12.1641216968776,16.3478837454077,24.735259554208,50.8079676213272,2015-03-01
"latent_infections",10,8.52449132337359,13.4154663779364,18.3858038472851,25.9617444620638,45.2146672371278,2015-03-08
"latent_infections",11,9.51488736215976,14.9941680118864,19.6716177409999,27.0326550414157,48.3052920944044,2015-03-15
"latent_infections",12,10.162004278513,16.0853650288433,21.2357463153453,29.2235630752429,52.796281614513,2015-03-22
"latent_infections",13,10.4017551171451,17.4919148623251,22.9099085779531,29.7043227202746,63.0749612002135,2015-03-29
"latent_infections",14,10.4826385000583,17.8675832626395,23.6825864471681,31.9710293581024,66.9954170781202,2015-04-05
"latent_infections",15,11.0428133866129,18.1400093877922,23.1280699555242,30.9973483519505,68.1861427676349,2015-04-12
"latent_infections",16,10.7190252317019,17.6096500252748,23.6822396733234,30.5147631129159,64.1512596317967,2015-04-19
"latent_infections",17,10.7294252730069,16.9966334091716,21.7441287125597,29.5746461907555,61.2681805251935,2015-04-26
"latent_infections",18,10.307169309626,15.3254793967187,19.9594442961878,26.2544374188977,55.622474488782,2015-05-03
"latent_infections",19,9.19861322204062,14.0238207095577,17.894537697222,23.7909679828395,51.2277462422758,2015-05-10
"latent_infections",20,7.90476986073506,11.3848988876683,15.0504313848738,19.981838496138,43.6724860353455,2015-05-17
"latent_infections",21,6.60943872277102,9.73394301115071,12.2203548013453,16.3231796085488,35.0294300174947,2015-05-24
"latent_infections",22,5.32395774491755,7.90347433296864,10.0995690914077,13.3865481029662,28.4529994043539,2015-05-31
"latent_infections",23,4.16226279288739,6.13191350141733,7.82797537401636,11.1417877563739,20.8200205205933,2015-06-07
"latent_infections",24,3.21827455792303,4.94592742383475,6.22687812212071,9.3170490219697,15.9380621486626,2015-06-14
"latent_infections",25,2.51205220899472,3.81620689268158,5.01412331614691,7.17563636024235,12.9100043862022,2015-06-21
"latent_infections",26,1.94285220877626,2.94916340892957,4.00085458884966,5.80281560523314,10.7520083667517,2015-06-28
"latent_infections",27,1.34209026842762,2.30291969659508,3.21262294536734,4.60880078544272,8.4288625917477,2015-07-05
"latent_infections",28,1.0025746808707,1.82872363035939,2.52769132955833,3.74642594193579,7.39114303238499,2015-07-12
"latent_infections",29,0.640298381208433,1.4471860071065,2.12237026929655,3.21962803163017,5.79775716430079,2015-07-19
"latent_infections",30,0.509227715562849,1.2043851304585,1.79832536105125,2.72650762992669,4.77161137951621,2015-07-26
"latent_infections",31,0.383807512826904,0.927567388760941,1.57119588097426,2.36236808786543,4.42935543091444,2015-08-02
"latent_infections",32,0.290151631935877,0.765796811604616,1.33340209549142,2.05419376873121,3.75464408499436,2015-08-09
"latent_infections",33,0.250054010474495,0.740845088275066,1.1551647655802,1.91278647605389,3.34491684910758,2015-08-16
"latent_infections",34,0.223896418767495,0.638517910575536,1.07411945171053,1.70269961769535,3.29729303712253,2015-08-23
"latent_infections",35,0.189775592730632,0.607622153187311,0.966795416027629,1.51362054417405,2.9849112088949,2015-08-30
"latent_infections",36,0.183406714049357,0.569931089315959,0.932285194092407,1.50404368452157,3.1072527490484,2015-09-06
"latent_infections",37,0.174360805612107,0.547419339574133,0.929748135028755,1.45482261454979,3.13410885520176,2015-09-13
"latent_infections",38,0.214582368966477,0.555935202040982,0.966488562619292,1.45618462786309,3.42530208993667,2015-09-20
"latent_infections",39,0.235115205274396,0.588342727109615,1.03252967084145,1.54895001267597,3.64110816026643,2015-09-27
"latent_infections",40,0.265212944675287,0.630829525983934,1.14613051826176,1.71973967261726,3.59598628281557,2015-10-04
"latent_infections",41,0.317208812822348,0.679113508407459,1.33150702834172,1.99303256865515,4.50163898405856,2015-10-11
"latent_infections",42,0.395193581652827,0.823243749563091,1.58144261031235,2.28722303803339,4.45061393877703,2015-10-18
"latent_infections",43,0.43614605505989,0.985403314082954,1.88982171318424,2.76346708826251,4.96941849567977,2015-10-25
"latent_infections",44,0.604224121485031,1.31657136985049,2.43926702342865,3.53038511672346,5.99574841009258,2015-11-01
"latent_infections",45,0.926353645570425,1.72049060802181,3.2960215680718,4.70540519947188,7.1649175041841,2015-11-08
"latent_infections",46,1.24433407045131,2.4139419788191,4.20440053741528,6.13796369801755,9.00467231502198,2015-11-15
"latent_infections",47,1.83974513418885,3.59567573275882,5.7561512446582,8.31282740344422,12.3916675185884,2015-11-22
"latent_infections",48,2.64834103946652,5.56268636591973,8.11800799965864,11.1505267832971,17.9062956684158,2015-11-29
"latent_infections",49,3.41084667276002,7.92246721752841,11.033663416757,15.107509911604,25.0607588967254,2015-12-06
"latent_infections",50,5.24458946332514,11.8001117119037,16.2455993027378,21.8351516012812,37.0579489184866,2015-12-13
"latent_infections",51,7.35611817000704,17.1393453895132,22.8052972530665,28.8949587780183,49.2824256316373,2015-12-20
"latent_infections",52,12.7241257602138,25.1881922379397,31.5405093447161,42.0708149733615,69.6726030698558,2015-12-27
"latent_infections",53,21.2159062330697,37.1181857428779,45.0354014861276,59.984596932044,98.6093418276933,2016-01-03
"latent_infections",54,33.0996574006913,54.4434442723935,64.9441390838422,83.3468146206543,144.710815499552,2016-01-10
"latent_infections",55,47.4097839357993,75.1706726699251,89.9182337995902,114.214956962533,199.158660174001,2016-01-17
"latent_infections",56,69.2519894084923,104.195059856579,123.668708304534,151.889745844675,300.878599583149,2016-01-24
"latent_infections",57,112.797030205087,154.912456973691,181.846638609115,235.643372642398,431.008035225757,2016-01-31
"latent_infections",58,133.502414354208,192.193009633406,224.958603237892,288.27095168689,530.797607950756,2016-02-07
"latent_infections",59,203.066916791468,283.817005416123,337.886119858703,426.066954643001,789.443579986672,2016-02-14
"latent_infections",60,293.354711358675,410.245159710902,488.506987126857,610.015186157524,1137.44561446625,2016-02-21
"latent_infections",61,520.850238163795,705.638407366755,820.558566148907,1044.86777302787,1931.72590347499,2016-02-28
"latent_infections",62,885.516898519178,1191.69137882194,1380.43129352238,1685.41127857428,3079.70301056515,2016-03-06
"latent_infections",63,1283.54251500658,1686.99457157421,1893.27035182218,2387.25806334782,4244.5434237564,2016-03-13
"latent_infections",64,1775.06124475848,2324.44308452074,2645.07401368099,3344.52423532454,5838.14181457758,2016-03-20
"latent_infections",65,2552.05967354389,3172.23783402604,3686.76622220289,4634.77116514907,8199.40976424934,2016-03-27
