mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,parameter
0.07468300042549675,9.202771709253963e-4,0.018383427871337336,0.04741783088094537,0.061746910860173726,0.0718496603939113,0.08333365730971037,0.11741772044422148,399.03932157915693,1.0062324005300964,rho
-0.4463251918445338,0.0047722939217642035,0.07581666534800664,-0.5410298534428818,-0.5007241802418756,-0.4662721686097515,-0.4143112274871863,-0.24066586473378151,252.39165442566093,1.0010991366898825,mu_log_beta
0.3231950425058114,0.022503758895564687,0.1555527196559545,0.001591620578315937,0.21574783335867287,0.33050910308116194,0.42914785003733635,0.6162467469808109,47.77988332967713,1.043601169018018,log_beta_season_raw[1]
0.30134994902118495,0.022074850211819246,0.1503324187732575,-0.006658805268774281,0.19926335435608655,0.30847647187827965,0.40262116278056836,0.5800301173312867,46.37775900118135,1.044658679551806,log_beta_season_raw[2]
0.2654603890061928,0.0224559791673994,0.14966741375611273,-0.03250755283146093,0.16309148026298215,0.26901895942032106,0.36965568872234644,0.5382165993298696,44.421223358383195,1.04570572529777,log_beta_season_raw[3]
0.2322456998218387,0.021216913717850748,0.1508524130464896,-0.06899749645771434,0.11870712145798233,0.24084955343574055,0.34012071253090104,0.5109118755268292,50.55220489791026,1.041260567269769,log_beta_season_raw[4]
0.20217577689408806,0.021722875689038162,0.1522667096242523,-0.0872495771266903,0.09558323690764137,0.20773509899356551,0.30802378839386696,0.4807180579594527,49.133227376705875,1.040141710144662,log_beta_season_raw[5]
0.1828787065801604,0.022824499731906117,0.1550900233279708,-0.11885804371475979,0.06704430919701566,0.18623122575160883,0.29417259143656327,0.4761041557937252,46.170564850691,1.040566840833175,log_beta_season_raw[6]
0.15864544692344748,0.022856824587771035,0.15361291704154947,-0.1399451666487962,0.05164078645014407,0.15843688739735073,0.27133310027067337,0.4625500996050524,45.167253374453914,1.043391847420893,log_beta_season_raw[7]
0.13332589244593782,0.02293377106421024,0.15287690489190478,-0.17406603194185455,0.02008689658895271,0.1338737059379767,0.24253125094704553,0.4101742319890175,44.4357809606313,1.0463065580420459,log_beta_season_raw[8]
0.10590533802201364,0.02147253055230141,0.15135744229346754,-0.18517814219731382,-0.0013087262043161823,0.11679294283082198,0.21888271287712013,0.37357352340452193,49.686808481241066,1.0401755799629282,log_beta_season_raw[9]
0.07013366808728363,0.021639953889696105,0.1513715809805971,-0.23177587571775315,-0.03744337850928425,0.07688943194891143,0.18080359334790438,0.3391678882228827,48.93009192600643,1.043791238382031,log_beta_season_raw[10]
0.029203804634793815,0.0214718164274315,0.14948028091088897,-0.26491121794867956,-0.07782207870438387,0.0384966640888796,0.13857946533363333,0.30580655403987084,48.465225705675806,1.038295395056641,log_beta_season_raw[11]
