muni6,total_cases,active_months,active_years,peak_year_cases,outbreak_years,active_month_frac,active_year_frac,peak_year_share,episodes,recurrence_index,persistence_index,concentration_index,pattern_class
120017,23,16,7,7,3,0.13333333333333333,0.7,0.30434782608695654,13,0.7,0.13333333333333333,0.30434782608695654,recurrent
120020,834,94,10,200,7,0.7833333333333333,1,0.23980815347721823,11,1,0.7833333333333333,0.23980815347721823,recurrent
120025,131,42,9,65,2,0.35,0.9,0.4961832061068702,19,0.9,0.35,0.4961832061068702,recurrent
120030,37,27,10,9,6,0.225,1,0.24324324324324326,18,1,0.225,0.24324324324324326,recurrent
120032,5,4,4,2,0,0.03333333333333333,0.4,0.4,4,0.4,0.03333333333333333,0.4,recurrent
120033,360,39,6,243,2,0.325,0.6,0.675,11,0.6,0.325,0.675,intermediate
120034,35,15,7,20,4,0.125,0.7,0.5714285714285714,11,0.7,0.125,0.5714285714285714,recurrent
120035,14,11,6,6,2,0.09166666666666666,0.6,0.42857142857142855,8,0.6,0.09166666666666666,0.42857142857142855,recurrent
120038,30,20,7,8,4,0.16666666666666666,0.7,0.26666666666666666,13,0.7,0.16666666666666666,0.26666666666666666,recurrent
120039,4,3,2,3,1,0.025,0.2,0.75,3,0.2,0.025,0.75,sporadic
120040,2370,111,10,799,6,0.925,1,0.3371308016877637,3,1,0.925,0.3371308016877637,recurrent
120042,35,20,7,20,3,0.16666666666666666,0.7,0.5714285714285714,15,0.7,0.16666666666666666,0.5714285714285714,recurrent
