metric,year,cases,population,attack_rate_pct,attack_rate_per_100k
10yr_total,2015-2024,197180,9031256.6,2.18,2177
annual,2015,25,8904459,0.0003,0.3
annual,2016,30862,8963663,0.344,344.3
annual,2017,107421,9020460,1.191,1190.9
annual,2018,1454,9075649,0.016,16.0
annual,2019,1202,9132078,0.013,13.2
annual,2020,1013,9187103,0.011,11.0
annual,2021,1318,9240580,0.014,14.3
annual,2022,50986,8794957,0.580,579.7
annual,2023,2017,9014301,0.022,22.4
annual,2024,882,9233656,0.010,9.6
