week_start,variable,q025,q25,median,q75,q975
2016-10-02,posterior_predictive_cases,49,211,386,623.25,1367.0500000000002
2016-10-09,posterior_predictive_cases,49,219.75,397,658.25,1438.025
2016-10-16,posterior_predictive_cases,53,231,410.5,672,1510.0500000000002
2016-10-23,posterior_predictive_cases,54,245,439.5,713.25,1600.0750000000003
2016-10-30,posterior_predictive_cases,64,252,472,764,1740.025
2016-11-06,posterior_predictive_cases,66,283,512,851.25,1836.0750000000003
2016-11-13,posterior_predictive_cases,74,325,590.5,952.25,2085.025
2016-11-20,posterior_predictive_cases,86.97500000000001,368.75,668,1097,2387.05
2016-11-27,posterior_predictive_cases,93,414.75,769,1278,2958.1750000000006
2016-12-04,posterior_predictive_cases,112.97500000000001,513,907,1509.25,3282.025
2016-12-11,posterior_predictive_cases,138.975,633,1126,1875,4171.325000000001
2016-12-18,posterior_predictive_cases,171,763,1394,2350,5070.5250000000015
2016-12-25,posterior_predictive_cases,192.97500000000002,975.75,1730,2871,6386.125
2017-01-01,posterior_predictive_cases,195,833.75,1514,2480,5447.1
2017-01-08,posterior_predictive_cases,244,994,1801.5,2970.5,6742.700000000006
2017-01-15,posterior_predictive_cases,255,1068.75,1944,3216,7167.375000000001
2017-01-22,posterior_predictive_cases,272.90000000000003,1175.75,2205.5,3591.25,7633.1500000000015
2017-01-29,posterior_predictive_cases,326,1349,2442.5,4045,8860.375000000004
2017-02-05,posterior_predictive_cases,304,1420.75,2646,4374.75,9528.025
2017-02-12,posterior_predictive_cases,392.82500000000005,1637.75,3009,4968,11112.625000000002
2017-02-19,posterior_predictive_cases,405.925,1816,3321,5631.75,12233.025000000001
2017-02-26,posterior_predictive_cases,459.90000000000003,1996.5,3620,5915.75,13326.375
2017-03-05,posterior_predictive_cases,518.9,2175.5,3905,6436,14613.475000000002
2017-03-12,posterior_predictive_cases,566.875,2367.75,4210.5,7138,15622.175000000005
2017-03-19,posterior_predictive_cases,541.825,2538.5,4569,7474.5,16469.625000000004
2017-03-26,posterior_predictive_cases,603.9499999999999,2707.75,4893,8103.25,18203.925000000003
2017-04-02,posterior_predictive_cases,668.575,2663.5,4959,7970.5,17396.750000000004
2017-04-09,posterior_predictive_cases,631.9000000000001,2748.75,4858.5,8109.25,18224.15
2017-04-16,posterior_predictive_cases,615.975,2744.75,4943,8255.75,18273.425
2017-04-23,posterior_predictive_cases,572.9749999999999,2665.25,4825,7914,17399.350000000002
2017-04-30,posterior_predictive_cases,586.975,2543,4540.5,7566.75,17455.850000000006
2017-05-07,posterior_predictive_cases,531.975,2322,4229.5,7023.5,15163.725000000002
2017-05-14,posterior_predictive_cases,474.925,2109.5,3725,6173.25,13869.050000000012
2017-05-21,posterior_predictive_cases,423.975,1989.5,3537,5674.25,12179.67500000001
2017-05-28,posterior_predictive_cases,409.95000000000005,1637.25,3031,5118,10759.25
2017-06-04,posterior_predictive_cases,315,1423,2543,4165.25,9076.175000000001
2017-06-11,posterior_predictive_cases,271.85,1192.75,2146.5,3535.5,7757.250000000002
2017-06-18,posterior_predictive_cases,239.97500000000002,997,1810,3019.75,6452.05
2017-06-25,posterior_predictive_cases,171,825.75,1515,2447.25,5444.350000000001
2017-07-02,posterior_predictive_cases,146.975,640.5,1195,1974,4034
2017-07-09,posterior_predictive_cases,122,520,931.5,1561,3359.0750000000003
2017-07-16,posterior_predictive_cases,99,416,748.5,1202,2596.1000000000004
2017-07-23,posterior_predictive_cases,73.97500000000001,327,591,964.5,2097.1000000000004
2017-07-30,posterior_predictive_cases,57,250,462.5,757,1659.025
2017-08-06,posterior_predictive_cases,46.97500000000001,197.75,350,580,1281.0500000000002
2017-08-13,posterior_predictive_cases,35,148,274,445,969.0500000000002
2017-08-20,posterior_predictive_cases,28,122,213.5,354,749.0250000000001
2017-08-27,posterior_predictive_cases,22,91.75,165,278,609.1000000000004
2017-09-03,posterior_predictive_cases,16,72,127,208,465.0500000000002
2017-09-10,posterior_predictive_cases,11,58,103,168.25,370.0250000000001
2017-09-17,posterior_predictive_cases,11,44,82,133,287
2017-09-24,posterior_predictive_cases,8,36,65,109.25,238
2017-10-01,posterior_predictive_cases,6,30,55,89,202.05000000000018
2017-10-08,posterior_predictive_cases,5,24,44,73,162.0250000000001
2017-10-15,posterior_predictive_cases,4,21,37,62,136
2017-10-22,posterior_predictive_cases,3,18,32,53,116
2017-10-29,posterior_predictive_cases,3,15,29,47,102
2017-11-05,posterior_predictive_cases,2,14,25,43,92
2017-11-12,posterior_predictive_cases,2,12,23,38,83
2017-11-19,posterior_predictive_cases,2,12,22,36,74
2017-11-26,posterior_predictive_cases,2,10,19,33,74
2017-12-03,posterior_predictive_cases,2,10,19,32,70
2017-12-10,posterior_predictive_cases,2,10,18,31,66.02500000000009
2017-12-17,posterior_predictive_cases,2,10,18,31,67
2017-12-24,posterior_predictive_cases,1,10,18,31,69
2017-12-31,posterior_predictive_cases,2,10,19,32,69
2018-01-07,posterior_predictive_cases,2,12,24,39,83
2018-01-14,posterior_predictive_cases,2,13,25,42,91.02500000000009
2018-01-21,posterior_predictive_cases,2,16,30,49,105.02500000000009
2018-01-28,posterior_predictive_cases,4,17,32,55,119
2018-02-04,posterior_predictive_cases,4,21,38,64,137.0250000000001
2018-02-11,posterior_predictive_cases,5,23,42,71.25,154
2018-02-18,posterior_predictive_cases,5,26,49,80,174.0250000000001
2018-02-25,posterior_predictive_cases,6,31,55,93,200
2018-03-04,posterior_predictive_cases,7,35,63,104,225.0250000000001
2018-03-11,posterior_predictive_cases,9,40,72,118,266.0500000000002
2018-03-18,posterior_predictive_cases,10,44,83,134,293
2018-03-25,posterior_predictive_cases,10,51,92.5,148,321.0250000000001
2018-04-01,posterior_predictive_cases,12,53,95,161,351
2018-04-08,posterior_predictive_cases,12.975000000000009,57,105,173,380
2018-04-15,posterior_predictive_cases,12,60,111.5,183,403
2018-04-22,posterior_predictive_cases,13,60,113,183,387
2018-04-29,posterior_predictive_cases,13,61,113,185.25,402
2018-05-06,posterior_predictive_cases,13,61,109,182,409
2018-05-13,posterior_predictive_cases,13,60,110,177.25,400.0250000000001
2018-05-20,posterior_predictive_cases,12,58,104,174,382.0250000000001
2018-05-27,posterior_predictive_cases,11,53.75,99,163,354.0250000000001
2018-06-03,posterior_predictive_cases,11,48,88,147,311.0250000000001
2018-06-10,posterior_predictive_cases,8.975000000000009,43,79,130,276
2018-06-17,posterior_predictive_cases,8,40,73,121,263.0250000000001
2018-06-24,posterior_predictive_cases,7,33,61,102,217
2018-07-01,posterior_predictive_cases,7,31,55,91,188
2018-07-08,posterior_predictive_cases,6,25,45,76,161
2018-07-15,posterior_predictive_cases,5,22,39,65,142.0250000000001
2018-07-22,posterior_predictive_cases,3,18,33.5,56,116
