site,observed_positive,observed_n,start,end,state_immune_q025,state_immune_median,state_immune_q975,observed_proportion
Juazeiro do Norte,103,404,2018-06-03,2018-12-30,0.1242299424328757,0.15502104431255231,0.20172902158546818,0.25495049504950495
Quixada,289,409,2018-06-03,2019-12-29,0.12406093032111765,0.15462803094101796,0.20102503295488672,0.706601466992665
