chain,alpha_R,beta_cos,phi_obs,z_year_1
1,2.626782741658958,0.15252547832505978,0.6442444634852661,-6.354518603282885
2,0.10804299599259241,0.25435676661874235,1.8151176594041876,-0.13611583296460214
3,0.10786527640869603,0.25456545971897704,1.8040024953598917,-0.09999350844470435
4,0.10939930055424074,0.25614967651045,1.8145199734062802,-0.1370325531125962
