week_start,variable,q025,q25,median,q75,q975
2016-09-18,posterior_predictive_cases,17,195,385,675,1791.4500000000016
2016-09-25,posterior_predictive_cases,16,187,382,679,1817
2016-10-02,posterior_predictive_cases,17,189,374,675,1761
2016-10-09,posterior_predictive_cases,16,194,388,675.25,1772.0750000000003
2016-10-16,posterior_predictive_cases,15,202.75,419,725,1833.1500000000005
2016-10-23,posterior_predictive_cases,17,214,425,769,1993.0500000000002
2016-10-30,posterior_predictive_cases,16,215.75,462,802.25,2197.1750000000006
2016-11-06,posterior_predictive_cases,19,247.75,506.5,924.25,2420.025
2016-11-13,posterior_predictive_cases,19.97500000000001,269,561.5,979.25,2566.1500000000005
2016-11-20,posterior_predictive_cases,28.97500000000001,305,641,1158,2884.1000000000004
2016-11-27,posterior_predictive_cases,28,372.75,760,1355.5,3456.7000000000025
2016-12-04,posterior_predictive_cases,32,437,912.5,1604.25,3950.300000000001
2016-12-11,posterior_predictive_cases,34,514,1054,1881,4680.500000000002
2016-12-18,posterior_predictive_cases,36,634.75,1320,2469,5906.250000000001
2016-12-25,posterior_predictive_cases,38.97500000000001,768,1712,3039.5,7367.100000000004
2017-01-01,posterior_predictive_cases,57,730,1541.5,2708,7131.025
2017-01-08,posterior_predictive_cases,69.90000000000003,866.75,1791.5,3137,8632.375000000004
2017-01-15,posterior_predictive_cases,79.97500000000001,945.75,1921.5,3505,9529.525000000005
2017-01-22,posterior_predictive_cases,117.97500000000001,1058,2230,3952.5,11448.750000000004
2017-01-29,posterior_predictive_cases,117.90000000000003,1207.75,2458,4447,12853.000000000007
2017-02-05,posterior_predictive_cases,124,1374,2793,5086.75,15563.700000000024
2017-02-12,posterior_predictive_cases,184.95000000000005,1625.5,3232,5856.25,19465.225
2017-02-19,posterior_predictive_cases,211.95000000000002,1776.75,3592,6451,25864.000000000004
2017-02-26,posterior_predictive_cases,254.925,1991,4026.5,7426,31078.57500000001
2017-03-05,posterior_predictive_cases,331,2242,4506,8168.25,40762.42500000001
2017-03-12,posterior_predictive_cases,319.95000000000005,2363.25,4665,8923.25,48521.35000000004
2017-03-19,posterior_predictive_cases,346.95,2628,5266,9726,62340.32500000004
2017-03-26,posterior_predictive_cases,405.95,2709,5397,10297,74134.02500000013
2017-04-02,posterior_predictive_cases,520.9000000000001,2881.5,5779,11015.5,78189.07500000004
2017-04-09,posterior_predictive_cases,477.70000000000005,2908.5,5887.5,11098.75,92522.52500000001
2017-04-16,posterior_predictive_cases,495.90000000000003,2984.25,5868.5,11487,98097.27500000007
2017-04-23,posterior_predictive_cases,547.8750000000001,2879,5846,11604.25,113744.97500000003
2017-04-30,posterior_predictive_cases,487,2747.75,5315,10610,110223.47500000008
2017-05-07,posterior_predictive_cases,462.6500000000001,2586.75,5124.5,10442,116399.82500000006
2017-05-14,posterior_predictive_cases,420.92500000000007,2366.25,4679.5,9384.25,102726.82500000003
2017-05-21,posterior_predictive_cases,357.85,2018.75,4069,8235.75,91353.35000000002
2017-05-28,posterior_predictive_cases,279.90000000000003,1765,3512,6877,82172.82500000008
2017-06-04,posterior_predictive_cases,279.95000000000005,1580.25,3074.5,5911,66793.72500000002
2017-06-11,posterior_predictive_cases,230.87500000000003,1343,2597.5,5079.5,54855.15000000002
2017-06-18,posterior_predictive_cases,160.97500000000002,1071,2172,4280.75,43976.075000000026
2017-06-25,posterior_predictive_cases,142.95,851,1715.5,3311.5,33849.950000000004
2017-07-02,posterior_predictive_cases,100.97500000000001,675,1345,2686.5,27108.500000000033
2017-07-09,posterior_predictive_cases,87.95000000000002,548.75,1079.5,2165,21133.125000000007
2017-07-16,posterior_predictive_cases,70.97500000000001,414,841,1602.5,14803.225000000019
2017-07-23,posterior_predictive_cases,53,337,667,1273,11372.175000000003
2017-07-30,posterior_predictive_cases,36,261.75,514,975.5,7642.725000000002
2017-08-06,posterior_predictive_cases,32,199,391,744.25,5358.475000000006
2017-08-13,posterior_predictive_cases,27,153.75,303,564,3947.1750000000006
2017-08-20,posterior_predictive_cases,16.97500000000001,121.75,240,451,2840.225000000001
2017-08-27,posterior_predictive_cases,12,99,185,336.25,2087.1750000000006
2017-09-03,posterior_predictive_cases,11,71,139,252.25,1283.4750000000017
2017-09-10,posterior_predictive_cases,7,57,112,203,1049.1750000000006
2017-09-17,posterior_predictive_cases,5,45,88,161,814.1500000000005
2017-09-24,posterior_predictive_cases,4,35,68,123,512
2017-10-01,posterior_predictive_cases,3,28,56,101.25,406.0500000000002
2017-10-08,posterior_predictive_cases,2,24,48,84,302.0250000000001
2017-10-15,posterior_predictive_cases,1,19,39,70,219.0250000000001
2017-10-22,posterior_predictive_cases,1,15,32,59,173.0250000000001
2017-10-29,posterior_predictive_cases,1,13,28,50,135
2017-11-05,posterior_predictive_cases,1,11,24,43,109.02500000000009
2017-11-12,posterior_predictive_cases,0,11,22,38,98.02500000000009
2017-11-19,posterior_predictive_cases,0,9,19,35,84
