site,observed_positive,observed_n,start,end,state_immune_q025,state_immune_median,state_immune_q975,observed_proportion
Juazeiro do Norte,103,404,2018-06-03,2018-12-30,0.12416806117494945,0.15545820229119772,0.19819615874852492,0.25495049504950495
Quixada,289,409,2018-06-03,2019-12-29,0.1239804054286048,0.15509109518800224,0.1974682433291527,0.706601466992665
