mode,draw,case_loglik,serology_loglik,q_prior_logdensity,other_priors_logdensity,lp__,q,alpha_R
low_q,29,-1224.675149040867,-4.1980898239041835,-1.15058125160104,-9.611751352320269,-1455.6678879416302,0.05833392467399727,0.19266691919969212
low_q,30,-1226.1427595410323,-4.22151898304773,-1.1494685588666418,-9.851094429025803,-1457.2309947107785,0.05773032279118963,0.18722861438699084
low_q,31,-1227.334930704907,-4.247735992441193,-1.143932189724545,-10.508833026685004,-1459.3521590588364,0.04650937566040903,0.21368076902142477
low_q,32,-1224.6520724781815,-4.403256967298432,-1.146588140431524,-11.604473527731109,-1457.8363953832766,0.044655089178565394,0.23535292590223417
low_q,33,-1226.3020507553076,-4.584534835835996,-1.1439441178136167,-9.658942563962317,-1457.7841117387848,0.046498524452086305,0.24545955794738328
low_q,34,-1223.4272782399548,-4.710671163395261,-1.1575035443352026,-9.983140906221289,-1455.2286335696144,0.04054449672268475,0.2539425133550561
low_q,35,-1221.3089832777007,-4.344694971032425,-1.1445127645361588,-12.349443529516694,-1455.0440435021587,0.046018828951398895,0.22381656704576647
low_q,36,-1225.0557759415606,-4.209131881760271,-1.151986535472912,-9.673950646324613,-1455.8733784433527,0.059049811496496636,0.20415614893892634
low_q,37,-1225.2178963671101,-4.499369809304483,-1.1518154036488393,-9.630990062685626,-1456.541220029175,0.05896505135688877,0.16200064770745923
low_q,38,-1221.4557917575305,-4.3838463247471395,-1.1425426729043036,-9.424937920663462,-1452.1938180567424,0.04822837402515411,0.2299015590092183
low_q,39,-1223.3976702606035,-4.200510117500897,-1.1441972276001762,-10.587834976740748,-1455.1619448451354,0.046276488195856426,0.19435520423433772
low_q,40,-1224.6667412880201,-4.572743758927373,-1.1426010195948697,-9.916356806591526,-1456.3710863541432,0.04812147107442886,0.23895288277475493
low_q,41,-1226.548330701073,-4.221324974382185,-1.1901713293886784,-9.884113666124096,-1457.8917582340275,0.07197226611541853,0.20268096060876842
low_q,42,-1225.3174953156506,-4.200265573438486,-1.1501535461874552,-9.342068782393309,-1455.8070286511052,0.058106182762868774,0.20524683174184788
low_q,43,-1223.891450335658,-4.219265511343252,-1.1420820847886972,-10.234304430907468,-1455.276493314416,0.05000137929478182,0.20466450094685873
low_q,44,-1223.3866921927759,-4.3769388919247945,-1.1447453949195807,-9.846657876241071,-1454.5767001218267,0.045840248997273986,0.23053477604355213
low_q,45,-1225.0476876774703,-4.842554739670106,-1.16430835328647,-11.660255227082239,-1458.5221190943555,0.038866294937479735,0.2598234885670465
low_q,46,-1222.7360838573904,-4.214337750767214,-1.1430413335511649,-9.405839579915098,-1453.4187483159242,0.052665675054527857,0.19138981725845755
low_q,47,-1225.1482890321963,-4.27055889239972,-1.1468177450735852,-10.524560342865081,-1456.987046080869,0.04452788872163031,0.2165727306619433
low_q,48,-1224.526754804973,-4.199405214299048,-1.1420836704073427,-9.936764321888017,-1455.618049366554,0.0498943620634338,0.19057137140520494
