mode,immune_2018_median,immune_2018_q025,immune_2018_q975,sero_pred_median,sero_pred_q025,sero_pred_q975,observed_juazeiro
low_q,0.2850122664289366,0.21251299840651958,0.34683249030314256,113,58,179,0.25495049504950495
high_q,0.015174937705809716,0.012192387323345632,0.021303389828364775,4,0,29,0.25495049504950495
