mode,year,observed,expected_median,expected_q025,expected_q975,ratio_expected_over_observed
low_q,2015,25,127.42979802780575,103.63769267600807,155.78120373234515,5.09719192111223
low_q,2016,30862,19002.736767445836,15772.43868583217,22929.984054538174,0.6157325114200582
low_q,2017,107421,104572.17097671315,82817.45780467884,140192.36307983316,0.9734797756184839
low_q,2018,1454,2561.845991684138,2088.3059716310872,3218.5117841314573,1.76192984297396
low_q,2019,1202,1405.4470840755102,1176.181395137428,1731.964432449363,1.169257141493769
high_q,2015,25,68.58607973416636,55.39564061528769,86.87222526819384,2.7434431893666544
high_q,2016,30862,23356.72104515965,20185.87693776522,27412.001013109708,0.7568116468524286
high_q,2017,107421,90174.0387157421,76258.22193766538,110182.1928658296,0.8394451617071346
high_q,2018,1454,2959.5377554439665,2351.0748694243093,3867.369403279199,2.0354454989298256
high_q,2019,1202,1610.4669754784381,1315.4003213970466,2016.0396912464767,1.3398227749404643
