mode,case_loglik_median,serology_loglik_median,q_prior_logdensity_median,other_priors_median,lp___median
high_q,-1201.8242305514764,-16.276034196028775,-8.096540190683807,-13.97737564301119,-1456.1197138844468
low_q,-1224.5063630537134,-4.297583005578616,-1.1468830418964,-9.730635151789578,-1455.7538257906945
