wave_id,wave_order,onset_week,end_week,previous_end,weeks_since_previous_wave
RJ_wave_05,2,2016-12-04,2017-10-29,2016-09-11,12
RJ_wave_06,3,2017-12-31,2018-09-09,2017-10-29,9
RJ_wave_07,4,2018-12-30,2020-12-20,2018-09-09,16
RJ_wave_10,5,2023-01-29,2024-10-20,2020-12-20,110
RJ_wave_11,6,2024-11-03,2025-12-28,2024-10-20,2
