year,median,lo95,hi95,observed
2015,32,19,50,36
2016,1510,1244.9750000000001,1840.025,1436
2017,4451,3758,5274.175000000001,4125
2018,32107,26898.350000000002,38475.15,33049
2019,74960.5,62236.85,90357.29999999999,77634
2020,2387,1967.925,2890.05,2803
2021,438,357.97499999999997,533,462
2022,509,422.975,609,511
2023,1108,930,1294.025,1033
2024,3811,3191,4578.05,3794
2025,1438,1179.975,1751,1545
