q_target,checkpoint,S_prop_median,immune_prop_median,max_R0,divergences,max_treedepth_hits,max_rhat,hmc_pass
0.01,2016-12-31,0.9915065753121475,0.008493424687852361,3.677988380941599,0,0,1.0066228973111975,TRUE
0.01,2018-12-31,0.805578835384406,0.19442116461559406,3.677988380941599,0,0,1.0066228973111975,TRUE
0.01,2020-12-31,0.47344631686604416,0.5265536831339559,3.677988380941599,0,0,1.0066228973111975,TRUE
0.01,2022-12-31,0.47936910583255804,0.520630894167442,3.677988380941599,0,0,1.0066228973111975,TRUE
0.01,2025-12-21,0.4589224346035063,0.5410775653964938,3.677988380941599,0,0,1.0066228973111975,TRUE
0.0125,2016-12-31,0.9929336413055381,0.007066358694461847,3.3359243538683296,9,0,1.0063934101518364,FALSE
0.0125,2018-12-31,0.8335634741864197,0.16643652581358026,3.3359243538683296,9,0,1.0063934101518364,FALSE
0.0125,2020-12-31,0.5155591106683904,0.4844408893316095,3.3359243538683296,9,0,1.0063934101518364,FALSE
0.0125,2022-12-31,0.5214448731299605,0.47855512687003954,3.3359243538683296,9,0,1.0063934101518364,FALSE
0.0125,2025-12-21,0.506217863455606,0.49378213654439396,3.3359243538683296,9,0,1.0063934101518364,FALSE
0.015,2016-12-31,0.9939694272589674,0.006030572741032542,3.1323635498104863,1,0,1.0023138654279624,FALSE
0.015,2018-12-31,0.8565277180715809,0.1434722819284191,3.1323635498104863,1,0,1.0023138654279624,FALSE
0.015,2020-12-31,0.5587873841251338,0.4412126158748663,3.1323635498104863,1,0,1.0023138654279624,FALSE
0.015,2022-12-31,0.5644539237606498,0.43554607623935004,3.1323635498104863,1,0,1.0023138654279624,FALSE
0.015,2025-12-21,0.5523596756401761,0.4476403243598239,3.1323635498104863,1,0,1.0023138654279624,FALSE
0.0175,2016-12-31,0.994781914663774,0.005218085336226088,2.834558934649753,0,0,1.0055482918633254,TRUE
0.0175,2018-12-31,0.8748155806717574,0.12518441932824265,2.834558934649753,0,0,1.0055482918633254,TRUE
0.0175,2020-12-31,0.6031255494146359,0.3968744505853641,2.834558934649753,0,0,1.0055482918633254,TRUE
0.0175,2022-12-31,0.6084756708502745,0.3915243291497254,2.834558934649753,0,0,1.0055482918633254,TRUE
0.0175,2025-12-21,0.5986154185933431,0.4013845814066569,2.834558934649753,0,0,1.0055482918633254,TRUE
0.02,2016-12-31,0.9953925851675383,0.004607414832461703,2.674000655434957,0,0,1.0020719008744072,TRUE
0.02,2018-12-31,0.8897163776321565,0.1102836223678435,2.674000655434957,0,0,1.0020719008744072,TRUE
0.02,2020-12-31,0.6444909698173807,0.3555090301826192,2.674000655434957,0,0,1.0020719008744072,TRUE
0.02,2022-12-31,0.6492230248103454,0.35077697518965445,2.674000655434957,0,0,1.0020719008744072,TRUE
0.02,2025-12-21,0.6406375400091562,0.3593624599908437,2.674000655434957,0,0,1.0020719008744072,TRUE
