parameter,median,q025,q975
mu_lambda,0.011758355808530206,0.008477868985544148,0.01627283428491154
q,0.10931722314402084,0.06622178244118301,0.18027203954323162
phi_obs,6.638503732521247,0.31576131285123316,46.70505629993928
rho_delta,0.08608676833538353,-0.5695474708112345,0.6798895913757912
sigma_delta,1.860814516623007,0.2224728979297766,2.6446514982541514
realized_mean_lambda,0.021294244372337463,0.010336805523437314,0.0657084021428517
realized_mean_to_mu_ratio,1.8352905676117852,0.8604660587782949,5.5558073261441026
cumulative_latent_infections,1881301.5495733009,970367.1251336623,4666725.715881436
S_end_2025,0.8093999154297182,0.528911942906636,0.9011070111563876
