segmentation_definition,state,wave_id,onset_week,peak_week,end_week,wave_end_censored,peak_incidence_raw,peak_incidence_smooth,peak_cases,preceding_trough_week,preceding_trough_incidence,trough_ratio,trough_duration_weeks,duration_weeks,weeks_onset_to_peak,total_cases,cumulative_incidence_per_100k,first4_cases,first6_cases,first8_cases,first4_nonzero_weeks,first6_nonzero_weeks,first8_nonzero_weeks,re4_prefit_eligible,re6_prefit_eligible,re8_prefit_eligible,early_peak_flag,reporting_anomaly_flag,n_candidate_peaks_in_segment,qc_duration_gt104,qc_peak_late_gt52,qc_multiple_peaks,qc_no_meaningful_fall,reason_re6_not_eligible,candidate_wave,major_epidemic_abs50,major_epidemic_abs100,major_epidemic_abs200,major_epidemic_inc2,major_epidemic_inc5,major_epidemic_inc10,major_epidemic_primary,reason_not_major,wave_order,is_recurrence
permissive,AC,AC_wave_12,2020-01-05,2020-02-09,2020-03-22,FALSE,0.4631468279652687,0.1929778449855286,4,2019-12-29,0,0,3,12,5,11,1.2736537769044889,4,8,9,3,4,5,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,fewer than 30 raw cases,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,fewer than 100 total cases and cumulative incidence below 5/100k,NA,NA
permissive,AC,AC_wave_13,2020-04-05,2020-05-17,2020-06-14,FALSE,0.23157341398263434,0.30876455197684577,2,2020-03-22,0,0,10,11,6,13,1.505227190887123,1,5,10,1,3,5,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,too few nonzero raw incidence weeks; fewer than 30 raw cases,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,fewer than 100 total cases and cumulative incidence below 5/100k,NA,NA
permissive,AC,AC_wave_14,2020-06-28,2020-07-12,2020-08-16,FALSE,0.34736012097395147,0.3473601209739515,3,2020-06-14,0.07719113799421144,0.25,4,8,2,12,1.389440483895806,10,12,12,4,6,6,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE,FALSE,FALSE,FALSE,fewer than 30 raw cases,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,fewer than 100 total cases and cumulative incidence below 5/100k,NA,NA
permissive,AC,AC_wave_15,2020-08-23,2020-11-08,2020-11-29,FALSE,0.11578670699131717,0.27016898297974,1,2020-08-16,0,0,14,15,11,10,1.1578670699131717,1,2,2,1,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,too few nonzero raw incidence weeks; fewer than 30 raw cases,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,fewer than 100 total cases and cumulative incidence below 5/100k,NA,NA
permissive,AC,AC_wave_16,2020-12-13,2021-03-07,2021-04-11,FALSE,2.4183908257768216,2.610326605600379,21,2020-11-29,0.03859556899710572,0.14285714285714288,2,18,12,162,18.658033516141316,9,45,56,3,5,7,FALSE,TRUE,TRUE,FALSE,FALSE,2,FALSE,FALSE,TRUE,FALSE,NA,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,2,TRUE
permissive,AC,AC_wave_17,2021-04-18,2021-05-30,2021-08-01,FALSE,0.23032293578826873,0.30709724771769165,2,2021-04-11,0.038387155964711456,0.125,3,16,6,21,2.4183908257768216,4,7,14,2,4,6,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,fewer than 30 raw cases,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,fewer than 100 total cases and cumulative incidence below 5/100k,NA,NA
permissive,AC,AC_wave_18,2021-09-05,2021-10-31,2021-11-28,FALSE,0.8061302752589407,0.5758073394706719,7,2021-08-01,0,0,9,13,8,27,3.109359633141628,5,9,14,3,5,7,FALSE,FALSE,FALSE,FALSE,FALSE,2,FALSE,FALSE,TRUE,FALSE,fewer than 30 raw cases,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,fewer than 100 total cases and cumulative incidence below 5/100k,NA,NA
permissive,AC,AC_wave_19,2021-12-12,2022-02-20,2022-05-01,FALSE,0.11460451129198249,0.15280601505597666,1,2021-11-28,0,0,6,21,10,12,1.3758110921059417,1,3,4,1,3,4,FALSE,FALSE,FALSE,FALSE,FALSE,3,FALSE,FALSE,TRUE,FALSE,too few nonzero raw incidence weeks; fewer than 30 raw cases,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,fewer than 100 total cases and cumulative incidence below 5/100k,NA,NA
permissive,AC,AC_wave_20,2022-05-22,2022-06-05,2022-07-17,FALSE,0,0.07640300752798833,0,2022-05-01,0,0,3,9,2,4,0.45841804516792994,2,2,4,2,2,3,FALSE,FALSE,FALSE,TRUE,FALSE,2,FALSE,FALSE,TRUE,FALSE,too few nonzero raw incidence weeks; fewer than 30 raw cases,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,fewer than 100 total cases and cumulative incidence below 5/100k,NA,NA
permissive,AC,AC_wave_21,2022-09-04,2022-09-11,2022-09-25,FALSE,0.11460451129198249,0.038201503763994164,1,2022-07-17,0,0,7,4,1,1,0.11460451129198249,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,1,FALSE,FALSE,FALSE,FALSE,too few nonzero raw incidence weeks; fewer than 30 raw cases; one week contains >=80% of early-window cases (backlog screen),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,fewer than 100 total cases and cumulative incidence below 5/100k,NA,NA
