state,week_start,reported_cases,population,incidence_raw,incidence_smooth
AC,2015-10-04,0,826677,0,0
AC,2015-10-11,0,826677,0,0
AC,2015-10-18,0,826677,0,0
AC,2015-10-25,0,826677,0,0
AC,2015-11-01,0,826677,0,0
AC,2015-11-08,0,826677,0,0
AC,2015-11-15,0,826677,0,0
AC,2015-11-22,0,826677,0,0
AC,2015-11-29,0,826677,0,0
AC,2015-12-06,0,826677,0,0
AC,2015-12-13,0,826677,0,0
AC,2015-12-20,0,826677,0,0
AC,2015-12-27,0,826677,0,0
AC,2016-01-03,0,836294,0,0
AC,2016-01-10,0,836294,0,0
AC,2016-01-17,0,836294,0,0
AC,2016-01-24,0,836294,0,0.039858391108071246
AC,2016-01-31,1,836294,0.11957517332421373,0.039858391108071246
AC,2016-02-07,0,836294,0,0.039858391108071246
AC,2016-02-14,0,836294,0,0
AC,2016-02-21,0,836294,0,0
AC,2016-02-28,0,836294,0,0
AC,2016-03-06,0,836294,0,0
AC,2016-03-13,0,836294,0,0
AC,2016-03-20,0,836294,0,0.07971678221614249
AC,2016-03-27,2,836294,0.23915034664842746,0.15943356443228499
AC,2016-04-03,2,836294,0.23915034664842746,0.19929195554035622
AC,2016-04-10,1,836294,0.11957517332421373,0.19929195554035622
AC,2016-04-17,2,836294,0.23915034664842746,0.23915034664842746
AC,2016-04-24,3,836294,0.3587255199726412,0.3188671288645699
AC,2016-05-01,3,836294,0.3587255199726412,0.39858391108071245
AC,2016-05-08,4,836294,0.47830069329685493,0.31886712886456997
AC,2016-05-15,1,836294,0.11957517332421373,0.2790087377564987
AC,2016-05-22,2,836294,0.23915034664842746,0.5181590844049262
AC,2016-05-29,10,836294,1.1957517332421375,0.9167429954856386
AC,2016-06-05,11,836294,1.315326906566351,0.9964597777017812
AC,2016-06-12,4,836294,0.47830069329685493,0.7174510399452824
AC,2016-06-19,3,836294,0.3587255199726412,0.2790087377564987
AC,2016-06-26,0,836294,0,0.15943356443228496
AC,2016-07-03,1,836294,0.11957517332421373,0.039858391108071246
AC,2016-07-10,0,836294,0,0.039858391108071246
AC,2016-07-17,0,836294,0,0
AC,2016-07-24,0,836294,0,0
AC,2016-07-31,0,836294,0,0
AC,2016-08-07,0,836294,0,0
AC,2016-08-14,0,836294,0,0
AC,2016-08-21,0,836294,0,0
AC,2016-08-28,0,836294,0,0.039858391108071246
AC,2016-09-04,1,836294,0.11957517332421373,0.039858391108071246
AC,2016-09-11,0,836294,0,0.039858391108071246
AC,2016-09-18,0,836294,0,0.039858391108071246
AC,2016-09-25,1,836294,0.11957517332421373,0.039858391108071246
AC,2016-10-02,0,836294,0,0.07971678221614249
AC,2016-10-09,1,836294,0.11957517332421373,0.039858391108071246
AC,2016-10-16,0,836294,0,0.039858391108071246
AC,2016-10-23,0,836294,0,0
AC,2016-10-30,0,836294,0,0
AC,2016-11-06,0,836294,0,0.07971678221614249
AC,2016-11-13,2,836294,0.23915034664842746,0.15943356443228499
AC,2016-11-20,2,836294,0.23915034664842746,0.15943356443228499
AC,2016-11-27,0,836294,0,0.15943356443228499
AC,2016-12-04,2,836294,0.23915034664842746,0.11957517332421373
AC,2016-12-11,1,836294,0.11957517332421373,0.19929195554035622
AC,2016-12-18,2,836294,0.23915034664842746,0.15943356443228499
AC,2016-12-25,1,836294,0.11957517332421373,0.19851772209492036
AC,2017-01-01,2,844496,0.23682764631211992,0.19774348864948452
AC,2017-01-08,2,844496,0.23682764631211992,0.2762989206974732
AC,2017-01-15,3,844496,0.3552414694681798,0.5525978413949464
AC,2017-01-22,9,844496,1.0657244084045394,0.4736552926242397
AC,2017-01-29,0,844496,0,0.4736552926242397
AC,2017-02-05,3,844496,0.3552414694681798,0.11841382315605993
AC,2017-02-12,0,844496,0,0.11841382315605993
AC,2017-02-19,0,844496,0,0.03947127438535332
AC,2017-02-26,1,844496,0.11841382315605996,0.11841382315605996
AC,2017-03-05,2,844496,0.23682764631211992,0.15788509754141328
AC,2017-03-12,1,844496,0.11841382315605996,0.19735637192676658
AC,2017-03-19,2,844496,0.23682764631211992,0.11841382315605996
