draw,scenario,coverage,VE_infection,vaccination_start,vaccination_end,target_age,cumulative_eligible,cumulative_doses,cumulative_effectively_protected,infections_no_vaccine,infections_vaccine,infections_averted,reported_cases_no_vaccine,reported_cases_vaccine,reported_cases_averted,NNV_infection,NNV_reported_case,infections_direct_only_arm,direct_only_effect,indirect_effect,NNV_total_infection,NNV_direct_only_infection,NNV_indirect_infection
161,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248337,913032.0590248337,782659.6559758824,2530913.8504358022,1998988.1255203835,531925.7249154188,126545.69252179012,99949.40627601917,26596.28624577094,1.7164653188563392,34.329306377126784,2446058.0210305145,84855.82940528775,447069.895510131,1.7164653188563392,10.759803603639499,2.0422579739640367
169,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.059024834,913032.059024834,773143.6423241566,2597532.964772812,2064367.7700711722,533165.1947016399,129876.64823864061,103218.38850355861,26658.259735082,1.712474985423173,34.24949970846345,2512753.35241663,84779.61235618219,448385.58234545775,1.712474985423173,10.76947668961894,2.036265426396762
188,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248338,913032.0590248338,785024.0916434565,2495084.425702704,1964279.9152120836,530804.5104906205,124754.22128513521,98213.99576060419,26540.225524531026,1.7200909957997943,34.40181991599589,2411215.850323769,83868.57537893532,446935.9351116852,1.7200909957997943,10.886462002002167,2.042870101274527
223,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248328,913032.0590248328,788094.6789603991,2447265.954866041,1912492.9588465623,534772.9960194787,122363.29774330206,95624.64794232813,26738.649800973933,1.7073264091883509,34.14652818376702,2365222.4912207047,82043.46364533622,452729.53237414244,1.7073264091883509,11.12863863197875,2.016727413908332
234,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248337,913032.0590248337,780299.6247624302,2569973.14379252,2069557.7118018738,500415.43199064606,128498.657189626,103477.88559009369,25020.771599532305,1.8245481666958274,36.49096333391655,2483558.604374188,86414.53941833181,414000.89257231425,1.8245481666958274,10.56572268012511,2.20538669216843
246,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248335,913032.0590248335,782835.398384596,2500051.9073894145,1964346.5633236011,535705.3440658133,125002.59536947073,98217.32816618006,26785.26720329067,1.7043549576997765,34.087099153995524,2416958.743464551,83093.16392486356,452612.1801409498,1.7043549576997765,10.98805263752427,2.0172503063008658
270,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248333,913032.0590248333,780480.545795986,2556042.0859079566,2042023.7479184018,514018.33798955474,127802.10429539783,102101.1873959201,25700.91689947774,1.7762635912872564,35.52527182574512,2470497.666156112,85544.41975184437,428473.9182377104,1.7762635912872564,10.673192496640295,2.130892967254772
292,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248336,913032.0590248336,795554.4447765789,2316390.544406922,1751916.2995059052,564474.2449010168,115819.5272203461,87595.81497529527,28223.712245050843,1.617491085328327,32.34982170656654,2239291.1647087093,77099.37969821272,487374.8652028041,1.617491085328327,11.842275029950715,1.8733671434716008
297,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248324,913032.0590248324,790964.412542011,2412638.8212961815,1874346.0027305079,538292.8185656737,120631.94106480909,93717.3001365254,26914.640928283683,1.6961624371242456,33.923248742484915,2331457.8361771945,81180.98511898704,457111.8334466866,1.6961624371242456,11.246870898235597,1.9973931808775198
304,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248331,913032.0590248331,783422.7916550101,2523843.2961607445,2008753.0240038428,515090.27215690166,126192.16480803723,100437.65120019215,25754.513607845085,1.7725670787793764,35.45134157558753,2438884.2425765987,84959.05358414585,430131.2185727558,1.7725670787793764,10.746730577931173,2.122682613120758
