week_start,week_of_year,t,year,cases,Tmean,PRCP,population
2015-01-04,1,2,2015,0,26.260532837884437,33.93866112966629,3327512
2015-01-11,2,3,2015,1,26.25094458169778,41.25576006570861,3327512
2015-01-18,3,4,2015,2,25.838471139090355,44.059484093464235,3327512
2015-01-25,4,5,2015,0,25.216464168655374,47.92305059456831,3327512
2015-02-01,5,6,2015,3,25.987823415209682,59.414245425857395,3327512
2015-02-08,6,7,2015,0,25.178120571684584,49.365217551224745,3327512
2015-02-15,7,8,2015,0,24.6143577343099,88.70855914653323,3327512
2015-02-22,8,9,2015,1,25.23594536998278,42.28083090738731,3327512
2015-03-01,9,10,2015,0,25.37094403536201,56.0230849198365,3327512
2015-03-08,10,11,2015,0,25.40733549673203,58.54373600486644,3327512
2015-03-15,11,12,2015,0,24.7438925368745,67.70380868113142,3327512
2015-03-22,12,13,2015,0,24.664926090612806,53.859620522897664,3327512
2015-03-29,13,14,2015,0,25.455903923940213,46.549984756354384,3327512
2015-04-05,14,15,2015,0,24.858125547721794,49.43479216088029,3327512
2015-04-12,15,16,2015,0,25.1129140048077,51.422825017459026,3327512
2015-04-19,16,17,2015,0,25.44499209210668,39.21526116218228,3327512
2015-04-26,17,18,2015,0,24.95567727458728,35.84094583745443,3327512
2015-05-03,18,19,2015,0,24.156086779852235,36.825797076392476,3327512
2015-05-10,19,20,2015,0,24.039396023374593,29.374818822347226,3327512
2015-05-17,20,21,2015,0,24.723027899786935,10.252067849996369,3327512
2015-05-24,21,22,2015,0,24.77167993308597,5.572413342935654,3327512
2015-05-31,22,23,2015,0,25.089611189464744,6.4375197090375345,3327512
2015-06-07,23,24,2015,0,25.111594452568717,0.33379603650269485,3327512
2015-06-14,24,25,2015,0,24.15331979254936,0.9737982069493596,3327512
2015-06-21,25,26,2015,0,24.358549036517054,0.02710107817432125,3327512
2015-06-28,26,27,2015,0,24.783268963970624,0.3356083363222609,3327512
2015-07-05,27,28,2015,1,23.30511341998975,19.649238033060783,3327512
2015-07-12,28,29,2015,0,25.198190382341913,1.3773411463923986,3327512
2015-07-19,29,30,2015,0,23.965554819394903,0.20857760286678112,3327512
2015-07-26,30,31,2015,0,25.717066172402706,0.010626037850338929,3327512
2015-08-02,31,32,2015,0,26.35253361216521,0.005962161820712978,3327512
2015-08-09,32,33,2015,0,26.273040537245503,0.004878307839110911,3327512
2015-08-16,33,34,2015,0,27.225413297671786,0.00495142276673501,3327512
2015-08-23,34,35,2015,0,28.240313630405634,6.05801627522584,3327512
2015-08-30,35,36,2015,0,28.977463039845528,0.4026809719102631,3327512
2015-09-06,36,37,2015,0,28.23289315432549,12.157521478894612,3327512
2015-09-13,37,38,2015,0,28.769087967372,1.118193315857233,3327512
2015-09-20,38,39,2015,0,30.631198250927927,1.5800926381112184,3327512
2015-09-27,39,40,2015,0,28.274795900502866,19.388239410949506,3327512
2015-10-04,40,41,2015,0,28.016184460116317,30.67869591896923,3327512
2015-10-11,41,42,2015,0,27.111228087341672,5.126109991065266,3327512
2015-10-18,42,43,2015,0,30.545235687711703,3.231277205016951,3327512
2015-10-25,43,44,2015,0,27.428445610143662,53.78222283239099,3327512
2015-11-01,44,45,2015,0,25.823988566832913,51.60815171744747,3327512
2015-11-08,45,46,2015,0,28.30474236158574,19.24914021138814,3327512
2015-11-15,46,47,2015,0,27.42398463109369,26.88645240782509,3327512
2015-11-22,47,48,2015,0,28.104249820567926,24.904184002801742,3327512
2015-11-29,48,49,2015,0,27.34982573283202,39.39210779325019,3327512
