assumed_true_state_prevalence,kappa_sero,alpha_sero,beta_sero,implied_observed_x_median,implied_observed_x_q025,implied_observed_x_q975,implied_observed_prevalence_q025,implied_observed_prevalence_median,implied_observed_prevalence_q975
0.1,50,5,45,38,12,82,0.0297029702970297,0.09405940594059406,0.20297029702970298
0.2,50,10,40,79,39,132,0.09653465346534654,0.19554455445544555,0.32673267326732675
0.25,50,12.5,37.5,100,54,156,0.13366336633663367,0.24752475247524752,0.38613861386138615
0.3,50,15,35,120,71,178,0.17574257425742573,0.297029702970297,0.4405940594059406
0.4,50,20,30,161,106,220,0.2623762376237624,0.39851485148514854,0.5445544554455446
