tag,kappa_sero,hmc_pass,divergences,treedepth_hits,max_rhat,min_bulk_ess,min_bfmi,q_median,q_q025,q_q975,alpha_R_median,alpha_R_q025,alpha_R_q975,exp_alpha_R_median,immune_prop_2018_median,immune_prop_2018_q025,immune_prop_2018_q975,S_over_N_pre2022_median,S_over_N_end2025_median,sero_pred_median,sero_pred_q025,sero_pred_q975,observed_2017,expected_2017_median,expected_2017_q025,expected_2017_q975,observed_2022,expected_2022_median,expected_2022_q025,expected_2022_q975,case_loglik_sum_median,serology_loglik_median
kappa50,50,TRUE,0,0,1.0079895961768672,797.9594363128567,0.930307350415378,0.02776460240634827,0.02460221122260851,0.03182272706559708,0.6788788409244775,0.6340610525293673,0.7293869478840682,1.9716659414133442,0.395925928967805,0.3611496872780355,0.4318924894694193,0.6046223333344727,0.2773669199422316,159.5,103.975,221,107421,81176.75710747189,68929.79694930202,95254.85317169534,50986,87800.34711712015,72551.61488793556,106747.21350117213,-2524.5243378149153,-6.1952410759544705
kappa100,100,FALSE,0,0,1.0247930043048215,632.041333909858,0.9166441497705691,0.028266824898955795,0.024880698958360304,0.03264881594968401,0.6708763332033496,0.6250332544340883,0.7188444300790304,1.9559506342944146,0.3884197119491799,0.3487633805244584,0.4238457329877986,0.6120408963682977,0.27893320844183533,156,111.975,203.02499999999998,107421,79868.90271040406,68418.7073938737,95375.90163194631,50986,90925.5472576303,74935.77445447905,111727.37270389503,-2524.611388115297,-7.190118836894129
kappa200,200,FALSE,0,0,1.0132082481220528,721.0523652964937,0.6815634954054194,0.028473653654145933,0.025110502321515724,0.03234901262906367,0.6598171336494338,0.617965589972713,0.7005189987866909,1.9344385583365908,0.37812631427240573,0.34317375255807575,0.41166207306478403,0.6218175752247903,0.2816267951193876,152,120,189,107421,78576.43178527558,66594.08123380825,91701.5291598036,50986,93142.1089823075,77308.52477733332,113548.33134943266,-2525.600782470231,-8.35486764914127
kappa500,500,FALSE,0,0,1.0156759027370925,808.6564020377589,0.9041363346473095,0.02895651115403451,0.0254838913272727,0.03353424201753027,0.6448138076167591,0.6063440493746991,0.6857421900631803,1.9056321820404674,0.3644603953274631,0.3322135154401576,0.396059215795678,0.6350149468743718,0.2854338712061406,147,120.975,176,107421,76815.2563501049,64384.073859238306,90347.59287276166,50986,97526.19614607337,81139.84683632432,119118.02307480913,-2527.346907969246,-9.62186542933398
binomial,Inf,FALSE,0,0,1.0135436354526053,571.3874075786657,0.9846858585745594,0.0301693937507661,0.02661035720778797,0.034874445656010875,0.622647700107807,0.5861453246046417,0.6629436051499747,1.8638564474139807,0.34372249379544595,0.31113160072829754,0.3745581233824466,0.6553237645196192,0.29148333143124106,139,117,162.02499999999998,107421,74404.64369837046,64739.05548050822,85751.76106369299,50986,105080.33828548146,87680.83701948976,130717.30139203236,-2530.218123030679,-10.504159419660652
