metric,model_A_caseonly,model_B_u10_ad099
divergences,0,0
cor_logitq_alphaR,-0.7017510630539043,-0.5382500922367185
case_loglik_median,-1849.3420126275832,-1853.658132402718
ppc_95_coverage_pct,97.03315881326353,97.20767888307155
case_rmse,153.84541265427578,169.175295303458
S_final_2025_median,0.5118709082690864,0.4665366977033717
