"variable","rhat","ess_bulk","ess_tail"
"alpha_R",1.03725990160895,153.00222638044,363.839237965336
"z_site[1]",1.02840860740091,161.672447991073,395.174393165884
"z_R[372]",1.02827206444341,431.472348022691,665.525486587649
"z_R[361]",1.02640286081468,430.483744106022,596.642232107104
"q",1.02403789367684,191.227698157754,414.335036821862
"z_R[124]",1.02305233771668,408.269366868113,828.648863954357
"z_R[15]",1.02246536083179,268.642014527851,807.335746195754
"z_R[94]",1.02233286510412,349.004846242909,759.164177647107
"z_R[247]",1.02156167922999,479.481933872134,836.295791619428
"z_R[394]",1.02109687257648,488.205086692127,924.244997716101
"z_R[23]",1.02073017094977,499.059959047593,899.166847739236
"z_R[133]",1.02052994895257,425.591537866077,565.910703844293
"z_R[550]",1.02000282862097,464.948094234759,794.763042309001
"z_site[2]",1.01991445747156,226.946925341851,450.134727184068
"z_R[452]",1.01966011919168,471.199404465588,1014.10223999045
"z_R[357]",1.01922918299799,418.877490387215,1105.12925902507
"z_R[371]",1.01883372324104,448.329110806488,835.120902044063
"z_R[393]",1.01848265128693,389.112617475411,852.956569454167
"z_R[484]",1.0183962022145,289.359932162859,620.758497393718
"z_R[249]",1.01818813627987,409.55719007465,1024.6947651638
"z_R[308]",1.01808733745875,515.251573878718,726.280693298673
"z_R[122]",1.01747345585289,380.786313747611,690.343965680882
"z_R[435]",1.01745100048542,384.601698089537,752.718236841769
"z_R[35]",1.01738036375855,446.826137339863,777.769925371712
"z_R[450]",1.0172041156773,356.132015754178,708.105073120361
"z_R[145]",1.01716981348368,357.05426682175,847.333103436591
"z_R[37]",1.0171383546953,412.660221996492,819.760500555495
"z_R[505]",1.01709066268458,492.475896493229,981.128720599316
"z_R[194]",1.01703939795826,461.90823927228,980.672689859494
"z_R[152]",1.01701378989994,503.976699270538,757.31870750478
