tag,lag,acf
fitB4,1,0.8166671153026073
fitB4,2,0.5795594601027307
fitB4,3,0.31370725182132336
fitB4,4,0.05128718470830416
fitB4,5,-0.14004217135849253
fitB4,6,-0.3108249681607176
