q,HMC_status,divergences,max_treedepth_hits,max_rhat,min_bulk_ess,total_loglik,delta_loglik,early_loglik,late_loglik,weekly_PPC_coverage,RMSE,annual_PPC_coverage,peak_early_covered,peak_late_covered,peak_timing_err_early_weeks,peak_timing_err_late_weeks,alpha_R_median,alpha_R_lo95,alpha_R_hi95,max_R0_median,max_Reff_median,immune_2018,immune_2020,immune_2022,immune_2025,S_2018,S_2020,S_2022,S_2025,min_S_prop
0.02,FAIL,4,0,1.0128866691972724,618.7079800522927,-1852.686606641083,-35.378161544058685,-706.5438875395882,-676.7896453494861,0.9633507853403142,275.3852647951913,0.7272727272727273,FALSE,FALSE,4,3,0.1961822119344021,0.1628413260749946,0.22165300086648093,3.0645801222428197,2.600384454007145,0.16449739893411325,0.16690581589726586,0.16487553976077635,0.6796693593172913,0.8355026010658868,0.8330941841027342,0.8351244602392236,0.32033064068270867,0.32029525645384127
0.03,PASS,0,0,1.0027373105884299,1206.5952768309767,-1819.8798600329792,-2.571414935954863,-705.0415462248379,-647.9834865062209,0.9685863874345549,212.3545144106334,0.7272727272727273,FALSE,FALSE,4,3,0.1381801307105108,0.10248938087789417,0.16538373929592828,3.162601100467035,2.736110846228976,0.1257739885969487,0.12700439132464092,0.12535754870727403,0.6184209197572963,0.8742260114030513,0.8729956086753591,0.874642451292726,0.3815790802427037,0.38157679270885003
0.04,FAIL,1,0,1.0083740641255576,1011.577121204371,-1817.3084450970243,0,-707.3597102893476,-645.9602489457081,0.9685863874345549,186.73592543059928,0.8181818181818182,FALSE,TRUE,4,3,0.08743668748071412,0.05046597714823875,0.11587540189896196,3.149547939018224,2.8088763558978056,0.09796820724308239,0.09896777065886256,0.09758675455551126,0.533360359346045,0.9020317927569176,0.9010322293411375,0.9024132454444888,0.4666396406539549,0.4666226969526285
0.05,PASS,0,0,1.001609450833803,890.094642838947,-1819.762855608593,-2.454410511568767,-708.9439062020456,-648.1262321203438,0.9685863874345549,181.52184614605554,0.8181818181818182,FALSE,TRUE,4,3,0.04775963751845706,0.01016820262935934,0.07648733502125553,3.1024031730066013,2.834900829527241,0.07862477451023964,0.0794577919264855,0.07835574196141887,0.44806888400817385,0.9213752254897605,0.9205422080735145,0.9216442580385811,0.5519311159918262,0.5519311159918262
0.07,PASS,0,0,1.0059156012280905,822.7140629963538,-1825.3678881381695,-8.059443041145187,-711.4955762456833,-651.7913543493476,0.9755671902268761,181.91366640368946,0.8181818181818182,FALSE,TRUE,4,2,-0.005049524730298228,-0.04794294109304804,0.023847701190723335,3.0504421667318447,2.8619494751027537,0.05641825202022578,0.057011096284091234,0.05622052853481452,0.328014503548686,0.9435817479797741,0.9429889037159087,0.9437794714651855,0.6719854964513139,0.6719854964513139
