wave_from,wave_to,spearman_incidence_corr,top10pct_jaccard,top20pct_jaccard,contrib50pct_overlap_jaccard,contrib80pct_overlap_jaccard,share_w2_cases_from_bottom50_w1,share_w2_cases_from_bottom25_w1,share_w2_cases_from_zero_w1,comparison_type
PE_wave_03,PE_wave_04,0.2667252706726508,0.08571428571428572,0.1935483870967742,0.2,0.25,0.13282442748091602,0.05648854961832061,0.0015267175572519084,adjacent
PE_wave_04,PE_wave_05,0.4071936907050109,0.4074074074074074,0.2982456140350877,0.5,0.3333333333333333,0.0838235294117647,0,0.0838235294117647,adjacent
PE_wave_05,PE_wave_06,0.39081378067839123,0.15151515151515152,0.34545454545454546,1,0.2,0.04259567387687188,0,0.04259567387687188,adjacent
PE_wave_06,PE_wave_07,0.41933676929563907,0.22580645161290322,0.2982456140350877,1,0.42857142857142855,0.05633377002922503,0,0.05633377002922503,adjacent
PE_wave_07,PE_wave_08,0.12256681871097085,0.02702702702702703,0.12121212121212122,0.16666666666666666,0.08695652173913043,0.5661074342004002,0.44058796367554254,0.44058796367554254,adjacent
PE_wave_08,PE_wave_09,0.37011802485871,0.3103448275862069,0.2982456140350877,0.14285714285714285,0.08333333333333333,0.14285714285714285,0.036036036036036036,0.02445302445302445,adjacent
PE_wave_09,PE_wave_10,0.3088666526852238,0.1875,0.2542372881355932,1,0.2777777777777778,0.1498415572657311,0,0.1498415572657311,adjacent
PE_wave_10,PE_wave_11,0.457727150947967,0.26666666666666666,0.2982456140350877,0.3333333333333333,0.47058823529411764,0.05149501661129568,0.016611295681063124,0.016611295681063124,adjacent
PE_wave_03,PE_wave_04,0.2667252706726508,0.08571428571428572,0.1935483870967742,0.2,0.25,0.13282442748091602,0.05648854961832061,0.0015267175572519084,all_pairwise
PE_wave_03,PE_wave_05,0.23022385998103248,0.1875,0.23333333333333334,0.25,0.10526315789473684,0.07941176470588235,0.028676470588235293,0.0029411764705882353,all_pairwise
PE_wave_03,PE_wave_06,0.18226948934216408,0.08571428571428572,0.13846153846153847,0.25,0.21428571428571427,0.08885191347753743,0.030615640599001664,9.983361064891847e-4,all_pairwise
PE_wave_03,PE_wave_07,0.173166059920647,0.11764705882352941,0.1746031746031746,0.25,0.1875,0.09871006751990326,0.014310188451073264,0.0024186234001813967,all_pairwise
PE_wave_03,PE_wave_08,0.11762557793090463,0.02702702702702703,0.1044776119402985,0.1111111111111111,0.10344827586206896,0.48737879021086655,0.13213790980452517,0.03278436201323688,all_pairwise
PE_wave_03,PE_wave_09,0.21177453835824686,0.08571428571428572,0.13846153846153847,0.2,0.17647058823529413,0.23938223938223938,0.047619047619047616,0.010296010296010296,all_pairwise
PE_wave_03,PE_wave_10,0.2123945039165116,0.08571428571428572,0.1746031746031746,0.2,0.2608695652173913,0.2209144409234948,0.047532820280669984,0.014938886373924853,all_pairwise
PE_wave_03,PE_wave_11,0.1309385868263768,0.08571428571428572,0.1935483870967742,0.2,0.2222222222222222,0.13870431893687707,0.03903654485049834,0.01079734219269103,all_pairwise
PE_wave_04,PE_wave_05,0.4071936907050109,0.4074074074074074,0.2982456140350877,0.5,0.3333333333333333,0.0838235294117647,0,0.0838235294117647,all_pairwise
PE_wave_04,PE_wave_06,0.32156945961499434,0.15151515151515152,0.21311475409836064,0.5,0.23076923076923078,0.06855241264559069,0,0.06855241264559069,all_pairwise
PE_wave_04,PE_wave_07,0.2765229797052805,0.15151515151515152,0.23333333333333334,0.5,0.2,0.08671772649400383,0,0.08671772649400383,all_pairwise
PE_wave_04,PE_wave_08,0.12257827262303354,0.08571428571428572,0.13846153846153847,0.14285714285714285,0.06896551724137931,0.2830537171002001,0,0.2830537171002001,all_pairwise
PE_wave_04,PE_wave_09,0.17471609085092768,0.08571428571428572,0.12121212121212122,0.3333333333333333,0.1875,0.35006435006435005,0,0.35006435006435005,all_pairwise
PE_wave_04,PE_wave_10,0.28064606441089734,0.05555555555555555,0.21311475409836064,0.3333333333333333,0.4,0.22951561792666364,0,0.22951561792666364,all_pairwise
PE_wave_04,PE_wave_11,0.27683272357464617,0.1875,0.2542372881355932,0.3333333333333333,0.4,0.18023255813953487,0,0.18023255813953487,all_pairwise
PE_wave_05,PE_wave_06,0.39081378067839123,0.15151515151515152,0.34545454545454546,1,0.2,0.04259567387687188,0,0.04259567387687188,all_pairwise
