wave_id,prior_quintile,n_munis,median_prior_incidence,median_subsequent_incidence,q25_subsequent,q75_subsequent,pop_weighted_mean_subsequent,share_of_state_cases
PE_wave_04,1,37,2.411187911911268,0,0,0,2.620990376160171,0.030534351145038167
PE_wave_04,2,37,8.642046436596186,0,0,2.7964819160836094,4.152887620361307,0.06564885496183206
PE_wave_04,3,37,21.11858083136813,0,0,2.3566999361842624,3.4011674565137464,0.07480916030534351
PE_wave_04,4,37,52.68588237876758,0,0,4.026807483861188,3.1040038037340314,0.11603053435114503
PE_wave_04,5,36,277.6792949675721,1.5241370939972294,0,8.054626707046356,12.27269650280091,0.7129770992366412
PE_wave_05,1,37,3.2776019607343287,0,0,0,2.1944554445626485,0.011764705882352941
PE_wave_05,2,37,12.789706942710144,0,0,2.213276423753904,2.9404797882854554,0.019852941176470587
PE_wave_05,3,37,23.89860526046401,0,0,2.720436441710987,3.952475566800792,0.047058823529411764
PE_wave_05,4,37,53.9377337441386,1.4242606142748384,0,10.002415968164618,8.788261899155602,0.1588235294117647
PE_wave_05,5,36,286.4084521721061,1.1928919497837924,0,10.307966232752895,27.09493234421924,0.7625
PE_wave_06,1,37,4.83165001890948,0,0,0,0.7328745538626154,0.0016638935108153079
PE_wave_06,2,37,14.520531815597003,0,0,2.6235013248681693,3.3050907993735255,0.010316139767054908
PE_wave_06,3,37,30.840890183466687,0,0,2.604370133083314,12.275679186398046,0.06522462562396007
PE_wave_06,4,37,63.295066001613115,0,0,8.073305614984056,8.942505230969875,0.07520798668885191
PE_wave_06,5,36,306.18006530542937,0,0,9.598422918374336,65.82383556807883,0.8475873544093178
PE_wave_07,1,37,4.8815592498486415,0,0,6.83433570256971,11.6362959342782,0.004031039000302328
PE_wave_07,2,37,17.16425926235786,2.624603028791895,0,13.424260323256188,19.332551579881468,0.009221001713191575
PE_wave_07,3,37,36.594796634199334,11.421261821005984,0,53.49596105494036,89.87919497288019,0.07109745036783231
PE_wave_07,4,37,84.4184233664836,6.98909700866648,0,80.14390282997026,63.904569176696135,0.08344250730625818
PE_wave_07,5,36,337.3802702174438,9.944037679547007,0,126.8319672410642,426.0753138938836,0.8322080016124156
PE_wave_08,1,37,6.770520673332893,9.18526683200147,0,78.14535035165407,129.9787012173687,0.06772356472217947
PE_wave_08,2,37,27.252804439816007,29.02851245000645,0,183.04614025121504,201.686795111235,0.14144989995382484
PE_wave_08,3,37,56.53226384393134,18.844221105527637,7.5582933373644225,109.90621336459554,302.06459488696,0.46159766045867323
PE_wave_08,4,37,168.0821762623192,23.0047779154132,6.09372143568077,71.61993686835194,69.6732394055286,0.11659227335693396
PE_wave_08,5,36,510.93943133795466,28.68222922806183,10.434691938474161,108.3927997586693,83.54216354550161,0.21263660150838848
PE_wave_09,1,37,14.62269333540622,0,0,0,0.7271318709753868,0.007722007722007722
PE_wave_09,2,37,61.34682644000293,0,0,0,1.3323146335024496,0.015444015444015444
PE_wave_09,3,37,145.7251497812648,0,0,3.24102805409876,7.002654170976521,0.18404118404118405
PE_wave_09,4,37,338.0335179506889,0,0,6.453046913651063,7.819959066268206,0.2651222651222651
PE_wave_09,5,36,1057.5849377441027,3.551065582778457,0,14.672964344114414,14.213220806737791,0.5276705276705277
PE_wave_10,1,37,15.337558416148376,0,0,5.605060860405959,5.138635847846901,0.019465821638750568
PE_wave_10,2,37,61.5119843165221,1.9726973562012509,0,8.135991513209891,6.464535624150915,0.026256224535989137
PE_wave_10,3,37,146.01489345335978,4.42423554093749,0,13.186574183684696,10.992435458069657,0.10502489814395655
PE_wave_10,4,37,345.9234813984257,6.967641638807412,1.616721859171348,28.114848907207964,20.539528840530018,0.2494341330918968
PE_wave_10,5,36,1073.9605409782453,15.112017841015879,3.7019461920936014,44.583291322041646,45.26032882736834,0.5998189225894069
PE_wave_11,1,37,18.182130682232103,0,0,0,1.6080158352451714,0.012458471760797342
PE_wave_11,2,37,71.3746343591188,0,0,3.934627674506413,6.484955362400412,0.04401993355481727
PE_wave_11,3,37,162.60592860971457,1.9186092739299925,0,6.75289376107288,8.587313244549094,0.15199335548172757
PE_wave_11,4,37,362.1959815179859,0.4934031524096719,0,6.934049851818021,8.823544636536008,0.19684385382059802
PE_wave_11,5,36,1122.140337150931,6.30834305465055,0,17.297549676499557,23.937876786324356,0.5946843853820598
