state,year,observed_cases,reference_q025,reference_q975,prob_below_reference,prob_above_reference,q_implied_q025,q_implied_median,q_implied_q975,q_implied_prob_gt_one,annual_hmc_pass,flag_q_gt_one,flag_implausibly_high,flag_implausibly_low,flag_label
CE,2015,25,0.07724361106339048,0.1937957032029353,1,0,1.6951678160218137e-4,4.0554458829999203e-4,0.0057969189474901105,0,TRUE,FALSE,FALSE,TRUE,low vs external 95% reference
CE,2016,30862,0.07724361106339048,0.1937957032029353,0.00575,0.73825,0.09621373216280489,0.2596083008066258,0.8079690691293233,0.015,TRUE,FALSE,FALSE,FALSE,none
CE,2017,107421,0.07724361106339048,0.1937957032029353,0,0.86025,0.14357191831541324,0.6028713636370151,1.647125206245341,0.2215,TRUE,TRUE,FALSE,FALSE,Pr(q > 1) > 2.5%
CE,2018,1454,0.07724361106339048,0.1937957032029353,0.89725,0.02475,0.008539938744108282,0.018351614840476836,0.19143979821703672,7.5e-4,TRUE,FALSE,FALSE,FALSE,none
CE,2019,1202,0.07724361106339048,0.1937957032029353,0.92425,0.0135,0.007138624649021157,0.01591593581556184,0.13324514467742773,0,TRUE,FALSE,FALSE,FALSE,none
CE,2020,1013,0.07724361106339048,0.1937957032029353,0.94575,0.01075,0.0058961342210445775,0.013348333012102233,0.12323294468702031,0,TRUE,FALSE,FALSE,FALSE,none
CE,2021,1318,0.07724361106339048,0.1937957032029353,0.911,0.01725,0.007788313459472176,0.016898351368284797,0.16154872363925088,0.00125,TRUE,FALSE,FALSE,FALSE,none
CE,2022,50986,0.07724361106339048,0.1937957032029353,7.5e-4,0.83625,0.12076648106127734,0.38970305554780393,1.1237657963593282,0.033,TRUE,TRUE,FALSE,FALSE,Pr(q > 1) > 2.5%
CE,2023,2017,0.07724361106339048,0.1937957032029353,0.8685,0.031,0.011903135744725213,0.025021714019040294,0.21992018401708127,5e-4,TRUE,FALSE,FALSE,FALSE,none
CE,2024,890,0.07724361106339048,0.1937957032029353,0.946,0.0095,0.005410504873694789,0.011865694385669506,0.12188285132293675,5e-4,TRUE,FALSE,FALSE,FALSE,none
CE,2025,683,0.07724361106339048,0.1937957032029353,0.959,0.00725,0.004394998647879493,0.00946723005044263,0.09767731592429141,7.5e-4,TRUE,FALSE,FALSE,TRUE,low vs external 95% reference
