horizon,horizon_date,doses_median,infections_averted_median,infections_averted_lo95,infections_averted_hi95,reported_cases_averted_median,NNV_infection_median,NNV_infection_lo95,NNV_infection_hi95,NNV_reported_case_median,pr_benefit_gt0
1yr,2016-01-03,137167.5318230397,33.119836449886634,20.75749578001171,50.51572043231292,1.6559918224943317,4141.552215982731,2715.3434744226515,6608.382741289413,82831.04431965463,1
2yr,2017-01-01,272925.6725021376,154594.47329917562,137092.2986649376,171233.9571845131,7729.723664958781,1.7654297057765915,1.5938769123586913,1.9908188844715817,35.308594115531825,1
3yr,2017-12-31,406370.1837317444,730940.797996095,684332.9734354407,793851.1021352578,36547.03989980475,0.5559549939933819,0.5118997589717359,0.5938200243243118,11.119099879867637,1
5yr,2019-12-29,664828.760400561,643199.5624831774,620236.1692047169,662307.4133695168,32159.97812415887,1.0336275305010516,1.0038069577745592,1.071896301879503,20.67255061002103,1
end_of_analysis_2021,2021-12-26,913032.0590248335,538772.6320432008,473373.9997588451,567351.2775607046,26938.63160216004,1.694651889967206,1.6092897335887193,1.9287791981229563,33.89303779934412,1
