quantity,p2_5,p25,median,p75,p97_5,pr_benefit_gt0
Cumulative doses administered,913032.0590248326,913032.0590248333,913032.0590248335,913032.0590248337,913032.0590248341,NA
"Infections averted (total, A-B)",473373.9997588451,522057.67155253695,538772.6320432008,549789.9938122698,567351.2775607046,1
Reported cases averted (q=0.05 fixed),23668.699987942255,26102.88357762685,26938.63160216004,27489.49969061349,28367.563878035235,1
NNV per infection averted,1.6092897335887193,1.6606923975338983,1.694651889967206,1.7489104232082922,1.9287791981229563,1
NNV per reported case averted,32.18579467177438,33.213847950677966,33.89303779934412,34.97820846416584,38.57558396245913,1
