year,year_end_date,doses_median,infections_averted_median,infections_averted_lo95,infections_averted_hi95,pr_infections_averted_gt0,reported_cases_averted_median,reported_cases_averted_lo95,reported_cases_averted_hi95,pr_reported_cases_averted_gt0,NNV_infection_median,NNV_infection_lo95,NNV_infection_hi95,NNV_reported_case_median,NNV_reported_case_lo95,NNV_reported_case_hi95,frac_draws_NNV_infection_defined,frac_draws_NNV_reported_case_defined,nnv_infection_stable,stability_note
2015,2015-12-27,134539.30558565093,29.622799633839747,18.655485094589203,45.14721257953813,1,1.4811399816919875,0.9327742547294602,2.257360628976907,1,4541.748492722714,2980.020172122451,7212.198033897856,90834.96985445428,59600.40344244902,144243.96067795713,1,1,FALSE,Insufficient accrued benefit for stable NNV
2016,2016-12-25,270334.1703657953,151447.1532334369,133339.1936876509,168414.283353209,1,7572.357661671846,6666.959684382546,8420.714167660451,1,1.785006639702293,1.605173726342914,2.0274188361292165,35.700132794045864,32.10347452685827,40.54837672258433,1,1,TRUE,
2017,2017-12-31,406370.1837317444,730940.797996095,684332.9734354407,793851.1021352578,1,36547.03989980475,34216.64867177203,39692.5551067629,1,0.5559549939933819,0.5118997589717359,0.5938200243243118,11.119099879867637,10.23799517943472,11.876400486486235,1,1,TRUE,
2018,2018-12-30,537003.0197339559,706189.2610852891,665373.9251571769,757532.6277421386,1,35309.46305426445,33268.69625785884,37876.63138710693,1,0.7604236700609714,0.7088843467389587,0.8070695286379669,15.20847340121943,14.177686934779175,16.14139057275934,1,1,TRUE,
2019,2019-12-29,664828.760400561,643199.5624831774,620236.1692047169,662307.4133695168,1,32159.97812415887,31011.80846023585,33115.370668475836,1,1.0336275305010516,1.0038069577745592,1.071896301879503,20.67255061002103,20.076139155491184,21.43792603759006,1,1,TRUE,
2020,2020-12-27,790070.7125432179,579101.8384545916,535111.9589606752,597627.5828687395,1,28955.09192272958,26755.59794803376,29881.379143436974,1,1.3643035884813182,1.3220117944749354,1.476466548844785,27.286071769626364,26.4402358894987,29.5293309768957,1,1,TRUE,
2021,2021-12-26,913032.0590248335,538772.6320432008,473373.9997588451,567351.2775607046,1,26938.63160216004,23668.699987942255,28367.563878035235,1,1.694651889967206,1.6092897335887193,1.9287791981229563,33.89303779934412,32.18579467177438,38.57558396245913,1,1,TRUE,
