t,week_start,doses_median,infections_averted_median,NNV_infection_median,NNV_infection_lo95,NNV_infection_hi95,NNV_reported_case_median,frac_draws_denominator_above_tol
52,2015-12-27,134539.30558565093,29.622799633839747,4541.748492722714,2980.020172122451,7212.198033897856,90834.96985445428,1
53,2016-01-03,137167.5318230397,33.119836449886634,4141.552215982731,2715.3434744226515,6608.382741289413,82831.04431965463,1
54,2016-01-10,139795.2211909196,37.55818149626714,3722.0987287977223,2433.0116009353023,5884.5020589384585,74441.97457595445,1
55,2016-01-17,142422.39325239672,45.17234161483418,3152.867211126647,2055.666379250962,4893.3674979839625,63057.34422253293,1
56,2016-01-24,145049.0450779435,58.182957521293304,2492.9873120161988,1633.209370450386,3797.7741558919324,49859.74624032398,1
57,2016-01-31,147675.1939253098,80.53077255151243,1833.7927481369024,1220.3769045537842,2657.396111477766,36675.85496273804,1
58,2016-02-07,150300.82043672554,119.47769497639729,1257.983117195539,851.1781555295777,1803.2948436493366,25159.662343910783,1
59,2016-02-14,152925.94407883377,189.60166011244155,806.5682002372696,554.7485849557617,1136.9428157067346,16131.364004745392,1
60,2016-02-21,155550.504425784,310.2010789826886,501.45090072786087,349.30196783566174,700.5642975650669,10029.018014557218,1
61,2016-02-28,158174.48739149963,516.2463162148035,306.3934669452427,218.80151201749524,417.4751160926671,6127.869338904853,1
62,2016-03-06,160797.8798491473,852.7331111683452,188.5676659815133,138.4497676292968,249.6138803702778,3771.353319630265,1
63,2016-03-13,163420.70269382867,1410.441521447562,115.86492805453861,88.4958777033938,150.27323544948194,2317.2985610907726,1
64,2016-03-20,166042.9107596313,2260.7488036190734,73.44598724590986,56.98811893631471,92.33526834670835,1468.919744918197,1
65,2016-03-27,168664.46435067838,3599.3118024441137,46.860206199930104,37.99392355368759,57.841636411823636,937.2041239986021,1
66,2016-04-03,171285.36681237927,5503.160311028354,31.124915377105175,25.20430531988568,37.442603058275395,622.4983075421035,1
67,2016-04-10,173905.57316497128,8277.993102844343,21.00818825759078,17.023195525338814,25.140874459901333,420.1637651518156,1
68,2016-04-17,176525.09529754834,12032.90601619942,14.670202804012247,11.944218069272711,17.292992918952038,293.4040560802449,1
69,2016-04-24,179143.91270592457,16919.35349699448,10.588106349145216,8.612585952179527,12.640318356118737,211.7621269829043,1
70,2016-05-01,181762.04071853275,23016.08477899203,7.897179380332271,6.402192589070155,9.306123935824713,157.9435876066454,1
71,2016-05-08,184379.49052453425,30210.84962309688,6.103117536346129,5.003243767522586,7.194977660708994,122.0623507269226,1
72,2016-05-15,186996.24963796115,38229.802804444276,4.8913738744947945,4.017109732523503,5.726742312373681,97.82747748989587,1
73,2016-05-22,189612.3002313079,46917.8271752952,4.041370173108108,3.3377738274564637,4.725033286044014,80.82740346216215,1
74,2016-05-29,192227.6521972524,55874.13924579357,3.4403689245750027,2.8493498763578793,4.0571944967315625,68.80737849150005,1
75,2016-06-05,194842.25628933057,64882.62836841059,3.002995815941085,2.507871763370637,3.572389875264128,60.05991631882169,1
76,2016-06-12,197456.1297529436,73636.61885668969,2.6814945902877176,2.2510238892688226,3.191480205510109,53.62989180575435,1
77,2016-06-19,200069.26015037837,82172.01411765625,2.434761937271136,2.062364594688239,2.8902003886174015,48.695238745422714,1
78,2016-06-26,202681.6579573864,89763.12302925243,2.2579613040499495,1.9230379377242055,2.6624398460112557,45.15922608099899,1
79,2016-07-03,205293.3290475389,96364.00051205294,2.130394438557903,1.8191315249651154,2.504594548995231,42.607888771158045,1
80,2016-07-10,207904.20533071982,102442.11474198173,2.029480060504479,1.74309258554412,2.387648237575556,40.58960121008958,1
81,2016-07-17,210514.28547500478,107677.05610364384,1.9550552993650352,1.686781289317262,2.2963289044402813,39.101105987300706,1
82,2016-07-24,213123.58685608275,112047.51278286023,1.9020823823737696,1.6428066370726797,2.2284182018542245,38.041647647475386,1
83,2016-07-31,215732.09957287984,115706.18925762858,1.8644819522084948,1.616590694647454,2.184754837697083,37.289639044169895,1
84,2016-08-07,218339.82161169147,118844.25479632104,1.8371929279929744,1.599879215163004,2.1561586473936827,36.74385855985949,1
85,2016-08-14,220946.7889023563,121468.20643095442,1.8189680733064977,1.5887549758063,2.136061135104801,36.37936146612995,1
86,2016-08-21,223553.01370554522,123567.80118074568,1.8091526546618326,1.582191819136297,2.121879507950122,36.18305309323665,1
87,2016-08-28,226158.51346508908,125458.47519844852,1.8026564969479288,1.5793254414844506,2.1050091565124296,36.05312993895858,1
88,2016-09-04,228763.27834791833,127071.9241406077,1.8002666794274593,1.5785368712225953,2.0944098715014916,36.00533358854919,1
89,2016-09-11,231367.29618912935,128481.3749259348,1.8007854566120916,1.5788086408762168,2.0883655062167263,36.015709132241824,1
90,2016-09-18,233970.52544181515,129746.39864832762,1.803292053319539,1.580937489611073,2.0859207396555512,36.065841066390774,1
91,2016-09-25,236572.98023367111,130911.34653888797,1.8071248108140776,1.5844733291269926,2.086115642814343,36.14249621628155,1
92,2016-10-02,239174.6552300708,132005.54988184385,1.8118545713376708,1.5891444728100164,2.088314249798067,36.23709142675341,1
93,2016-10-09,241775.5352509422,133087.56224201366,1.8166661012492518,1.5946125678456775,2.092004229179957,36.33332202498504,1
94,2016-10-16,244375.6376488696,134183.2912536447,1.8212077134206495,1.6006213331284562,2.0967489232476537,36.42415426841299,1
95,2016-10-23,246974.97023229988,135334.74060532125,1.8249192784555208,1.6068442097865654,2.101889648374316,36.49838556911041,1
96,2016-10-30,249573.5213464953,136508.31980965156,1.8282661587006128,1.6131060011096725,2.10709352951379,36.56532317401225,1
97,2016-11-06,252171.31066671305,137702.6435277922,1.8312745347149892,1.6190997201836979,2.11183004235687,36.625490694299785,1
98,2016-11-13,254768.3314923226,138927.31551044376,1.8338248285639063,1.6244631017453524,2.115485556520475,36.67649657127812,1
99,2016-11-20,257364.60845241032,140214.03454722755,1.8355124702766454,1.6287779866446053,2.1171532870081666,36.710249405532906,1
100,2016-11-27,259960.10463465127,141699.98450623895,1.8345810392051605,1.631593629738945,2.115708332974206,36.69162078410321,1
101,2016-12-04,262554.81355304515,143381.0451832078,1.8311687517611124,1.6323548377305832,2.110099319177895,36.623375035222246,1
102,2016-12-11,265148.7360062274,145514.62815501506,1.8221448979463017,1.6299006618226262,2.097922202684485,36.44289795892603,1
103,2016-12-18,267741.8536285154,148017.42435723476,1.8088536581613581,1.622562363170539,2.074959502457166,36.17707316322716,1
104,2016-12-25,270334.1703657953,151447.1532334369,1.785006639702293,1.605173726342914,2.0274188361292165,35.700132794045864,1
105,2017-01-01,272925.6725021376,154594.47329917562,1.7654297057765915,1.5938769123586913,1.9908188844715817,35.308594115531825,1
106,2017-01-08,275516.34940036864,158761.18914606358,1.7354138463324034,1.5753887484981661,1.9542870296652497,34.70827692664807,1
107,2017-01-15,278106.203542423,163496.6826077136,1.7009898964069823,1.5471559406777264,1.9056739129759641,34.01979792813964,1
108,2017-01-22,280695.2084599079,169211.4451983945,1.6588429237182427,1.5120170442929923,1.8481322986590514,33.17685847436485,1
109,2017-01-29,283283.38621389755,176355.11254192417,1.6063236473219034,1.4697624184918132,1.7811008957196466,32.12647294643807,1
110,2017-02-05,285870.7065767342,184963.9831983711,1.5455479616053296,1.4191453771748295,1.7083433424639347,30.91095923210659,1
111,2017-02-12,288457.15584715654,195862.9283438194,1.4727501478735892,1.3588458317078538,1.6188029756407174,29.455002957471784,1
112,2017-02-19,291042.7287675819,209483.52730960172,1.3893348123026934,1.2890371838275352,1.523515371176957,27.786696246053864,1
113,2017-02-26,293627.41117239976,226497.78003607196,1.296381005262734,1.2107249047550792,1.4161083759227029,25.927620105254675,1
