year,infections_no_vaccine_median,infections_no_vaccine_lo95,infections_no_vaccine_hi95,infections_vaccine_median,infections_vaccine_lo95,infections_vaccine_hi95,infections_averted_median,infections_averted_lo95,infections_averted_hi95,pr_infections_averted_gt0
2015,699.5688531336946,512.5780877251199,963.0116696878762,669.112560704054,492.06394173396603,914.1710135983675,29.622799633839747,18.655485094589203,45.14721257953813,1
2016,591180.3149908101,516261.82132624934,678478.7583651892,438908.93264847185,383734.86603498086,512679.2120451156,151419.32353147358,133307.82672134184,168381.47334881403,1
2017,1758022.0792191802,1581874.0046148177,2013065.5510772173,1187140.6643144577,1043763.4284118887,1397216.4103871793,580216.0196840791,520425.5249713138,657510.1143051144,1
2018,27694.874651437993,25399.171842352738,31639.186638283067,53316.07209478841,42679.263039946156,71580.96333635547,-25211.143311284206,-40814.2125652919,-16300.149995652471,0
2019,23633.946734717472,20769.956161725724,26599.827136134845,85081.95070539488,60388.12140736911,127557.16828246816,-60823.706918187134,-104469.68635048212,-38315.454675118875,0
2020,20360.866019210174,18261.4528919795,22696.35942880525,82468.15966842251,59275.67205715211,128372.78025982344,-62303.19433397416,-107928.4867694878,-39566.06074776755,0
2021,26930.300040819573,24202.4422757564,30770.268764566943,68106.61867794784,50627.13156334925,98457.80795929357,-42126.07229864216,-66814.13672314986,-23266.479874855737,0
