age_group,infections_averted_median,infections_averted_lo95,infections_averted_hi95,percent_reduction_median,percent_reduction_lo95,percent_reduction_hi95,is_vaccine_targeted
0-11,80809.65515002736,66479.72441055729,87682.90897064593,18.850801514536542,14.011744068380352,22.263219085495706,FALSE
12,34070.20886431441,31402.41827574624,37900.35318103721,90.85559067981808,90.28834728489123,91.35029069624461,TRUE
13-17,86796.02823686486,82526.3375978764,92587.6975587754,43.17564497768252,41.03544692726811,44.73975808545174,FALSE
18-64,296665.1987083814,247517.4191308623,319905.7864608226,18.9442740165225,14.273949313303223,22.272486813619114,FALSE
65+,39843.549194854364,29855.914386475528,44568.543487380244,17.140273493006994,11.912973506071049,20.93930891348401,FALSE
